Rk,School,Conf,W,L,Pts,Opp,MOV,SOS,OSRS,DSRS,SRS,Year
1,Stanford,Pac-10,27,4,78.9,59.7,19.26,7.12,11.7,13.96,25.65,2000
2,Duke,ACC,29,5,88,71.3,16.68,8.88,22.65,2.9,25.55,2000
3,Michigan State,Big Ten,32,7,74.1,58.9,15.13,9.91,10.07,14.97,25.04,2000
4,Cincinnati,CUSA (American),29,4,77.6,61.5,16.12,8.5,12.9,11.72,24.62,2000
5,Florida,SEC (East),29,8,83.8,68.9,14.97,8.51,18.49,4.99,23.48,2000
6,Temple,A-10 (East),27,6,68.5,54.8,13.7,6.94,2.35,18.29,20.63,2000
7,Texas,Big 12,24,9,74.5,63.7,10.82,9.61,9.64,10.8,20.43,2000
8,Oklahoma State,Big 12,27,7,77.1,62.3,14.79,6.59,7.78,12.23,20.01,2000
9,Tulsa,WAC,32,5,80.4,62.9,17.51,2.42,9.77,10.17,19.94,2000
10,Illinois,Big Ten,22,10,75.8,65.6,10.13,9.6,9.87,9.85,19.73,2000
11,Indiana,Big Ten,20,9,77.7,68.4,9.24,10.22,13.46,5.97,19.43,2000
12,Oklahoma,Big 12,27,7,74.9,62.3,12.62,6.63,7.48,11.77,19.25,2000
13,Iowa State,Big 12,32,5,78.3,65.1,13.22,7.14,10.55,8.54,19.09,2000
14,Arizona,Pac-10,27,7,76.4,67.2,9.26,9.7,12.05,6.92,18.96,2000
15,Tennessee,SEC (East),26,7,79.7,67.8,11.82,8.12,12.39,6.54,18.93,2000
16,Louisiana State,SEC (West),28,6,75.8,62.7,13.12,5.78,8.06,10.84,18.9,2000
17,Kentucky,SEC (East),23,10,69.1,62.8,6.24,12.71,4.81,13.72,18.52,2000
18,Kansas,Big 12,24,10,78.7,70.1,8.65,9.79,12.92,5.02,17.94,2000
19,Maryland,ACC,25,10,76.7,68.2,8.49,9.44,11.36,6.57,17.93,2000
20,Syracuse,Big East,26,6,75,63.5,11.47,6.2,10.1,7.57,17.67,2000
21,Ohio State,Big Ten,23,7,72.7,61.7,11,6.55,6.34,11.21,17.55,2000
22,North Carolina,ACC,22,14,75.4,70.2,5.19,11.8,10.32,6.68,17,2000
23,Connecticut,Big East,25,10,74.6,65.3,9.34,7.58,7.88,9.04,16.93,2000
24,Purdue,Big Ten,24,10,73.7,66.1,7.62,9.56,8.81,8.05,16.87,2000
25,Wisconsin,Big Ten,22,14,59.9,55.8,4.17,12.5,-3.28,19.95,16.67,2000
26,Gonzaga,WCC,26,9,77.7,66,11.69,4.64,11.05,5.33,16.38,2000
27,UCLA,Pac-10,21,12,75.5,70.3,5.18,10.11,9.29,6,15.29,2000
28,Louisville,CUSA (American),19,12,73.2,66.2,7,8.76,6.78,8.15,14.93,2000
29,Oregon,Pac-10,22,8,75.6,68.2,7.4,8.53,8.21,6.53,14.74,2000
30,DePaul,CUSA (American),21,12,72.3,64.3,8,7.82,5.34,9.33,14.67,2000
31,St. John's (NY),Big East,25,8,73.7,66.4,7.3,6.96,7.09,7.17,14.26,2000
32,Wake Forest,ACC,22,14,69.8,64.5,5.25,8.95,3.8,10.4,14.2,2000
33,Southern California,Pac-10,16,14,78.1,72.7,5.4,8.77,11.94,2.23,14.17,2000
34,Auburn,SEC (West),24,10,71.3,64.4,6.91,8.2,4.23,9.36,13.59,2000
35,Pepperdine,WCC,25,9,73,63.2,9.76,3.34,5.34,7.77,13.11,2000
36,NC State,ACC,20,14,69,63.6,5.47,7.49,1.47,11.49,12.96,2000
37,Vanderbilt,SEC (East),19,11,74.8,69.7,5.1,7.54,8.25,4.4,12.64,2000
38,Missouri,Big 12,18,13,74.3,69.9,4.32,8.22,8.49,4.06,12.55,2000
39,Arkansas,SEC (West),19,15,74.4,69.8,4.62,7.76,8.56,3.82,12.37,2000
40,Virginia,ACC,19,12,81.5,75.4,6.06,6.22,14.94,-2.65,12.29,2000
41,Butler,MW Coll,23,8,68,55.7,12.23,0.01,-1.53,13.77,12.23,2000
42,Utah,MWC,23,9,70.4,61.8,8.53,4.36,2.61,9.62,12.23,2000
43,Arizona State,Pac-10,19,13,79.3,74.8,4.5,8.75,13.18,-1.07,12.11,2000
44,Miami (FL),Big East,23,11,69,62.6,6.44,5.39,2.01,9.82,11.83,2000
45,Charlotte,CUSA (American),17,16,68.1,65.7,2.39,8.59,3.16,7.82,10.98,2000
46,Kent State,MAC (East),23,8,75.7,65.9,9.74,2.21,4.45,6.42,10.87,2000
47,Seton Hall,Big East,22,10,71.7,66.2,5.53,5.11,5.35,5.29,10.64,2000
48,Penn State,Big Ten,19,16,73.5,72.2,1.26,8.82,9.02,1.06,10.08,2000
49,South Carolina,SEC (East),15,17,68.4,67.3,1.19,8.78,2.19,7.78,9.97,2000
50,Dayton,A-10 (West),22,9,71.4,64.9,6.48,3.46,3.74,6.21,9.95,2000
51,Nevada-Las Vegas,MWC,23,8,82.2,75,7.23,2.52,13.48,-3.74,9.74,2000
52,California,Pac-10,18,15,72,70.9,1.03,8.62,5.83,3.82,9.65,2000
53,Notre Dame,Big East,22,15,71.2,68.1,3.19,6.38,4.49,5.08,9.57,2000
54,Brigham Young,MWC,22,11,70.5,63.8,6.7,3.54,0.66,8.88,9.54,2000
55,St. Bonaventure,A-10 (East),21,10,68.9,64.7,4.16,5.29,1.99,7.46,9.45,2000
56,Xavier,A-10 (West),21,12,75.2,69.2,5.94,3.42,8.04,1.32,9.36,2000
57,Fresno State,WAC,24,10,82.3,76.7,5.59,3.58,14.2,-5.03,9.17,2000
58,Iowa,Big Ten,14,16,68.8,71.6,-2.83,11.83,4.83,4.17,9,2000
59,Saint Louis,CUSA (American),19,14,64.4,63.8,0.61,8.39,-1,9.99,8.99,2000
60,Utah State,Big West (East),28,6,70.5,61.2,9.32,1.89,-0.07,8.89,8.83,2000
61,Cal State Long Beach,Big West (West),24,6,81.2,68.7,12.5,-0.87,9.11,-0.3,8.81,2000
62,South Florida,CUSA (National),17,14,77.2,72.5,4.71,3.92,9.33,-0.64,8.7,2000
63,Colorado,Big 12,18,14,75.2,71.8,3.38,6.32,7.43,1.15,8.58,2000
64,Creighton,MVC,23,10,73,66.4,6.64,1.64,5.56,2.72,8.28,2000
65,Colorado State,MWC,18,12,70.2,64.1,6.03,3.48,0.76,7.48,8.24,2000
66,New Mexico,MWC,18,14,72.6,68.3,4.31,4.18,3.8,4.16,7.96,2000
67,Mississippi,SEC (West),19,14,71.4,68.8,2.55,6.52,4.1,3.76,7.86,2000
68,Ball State,MAC (West),22,9,74.2,69,5.23,3.17,5.63,2.21,7.84,2000
69,Massachusetts,A-10 (East),17,16,68.6,64.8,3.82,5.04,-0.35,8.17,7.83,2000
70,Southern Methodist,WAC,21,9,77.3,69.8,7.47,1.39,6.86,0.85,7.7,2000
71,Villanova,Big East,20,13,69.9,69.1,0.88,6.74,4.53,3.08,7.62,2000
72,Southern Illinois,MVC,20,13,71.1,67.8,3.24,4.29,5.23,2.3,7.53,2000
73,Missouri State,MVC,23,11,66.4,62.9,3.44,4.08,-1.79,9.3,7.52,2000
74,Ohio,MAC (East),20,13,72.3,68.3,3.97,3.53,2.9,4.6,7.5,2000
75,Alabama,SEC (West),13,16,72.2,72.4,-0.17,7.62,6.6,0.84,7.44,2000
76,San Diego,WCC,20,9,70.7,62.6,8.07,0.45,0.51,6.8,7.3,2000
77,Marquette,CUSA (American),15,14,62.8,62.4,0.38,6.83,-3.96,11.17,7.21,2000
78,Mississippi State,SEC (West),14,16,72.3,70.4,1.83,5.29,5.54,1.58,7.12,2000
79,Wyoming,MWC,19,12,82.8,77.5,5.35,2.84,13.14,-6.27,6.88,2000
80,Minnesota,Big Ten,12,16,70.2,73,-2.86,9.62,5.31,1.46,6.77,2000
81,Oregon State,Pac-10,13,16,69.1,69.5,-0.38,8.74,1.55,5.15,6.7,2000
82,Georgetown,Big East,19,15,69.7,68.2,1.5,5.78,0.89,5.74,6.63,2000
83,Rutgers,Big East,15,16,70.2,67.9,2.23,4.4,2.62,4.01,6.62,2000
84,Indiana State,MVC,22,10,66.8,63.4,3.31,3.23,-2.09,8.63,6.54,2000
85,Memphis,CUSA (National),15,16,73.2,71.9,1.29,5.64,4.78,1.6,6.37,2000
86,New Mexico State,Big West (East),22,10,70.8,65.5,5.28,2,0.37,5.88,6.25,2000
87,Georgia Tech,ACC,13,17,70.6,71.4,-0.77,7,2.91,3.32,6.23,2000
88,San Francisco,WCC,19,9,71.6,64.7,6.89,0.67,2.83,3.39,6.22,2000
89,UTEP,WAC,13,15,77.1,74.4,2.71,3.23,7.52,-1.57,5.95,2000
90,TCU,WAC,18,14,87.9,84.1,3.81,2.81,19.2,-13.3,5.91,2000
91,Tulane,CUSA (National),20,11,67.8,65.5,2.26,3.54,-0.76,6.56,5.79,2000
92,Southern Mississippi,CUSA (National),17,12,66.2,64.9,1.31,4.2,-1.73,7.24,5.51,2000
93,Saint Joseph's,A-10 (East),13,16,70.4,70.7,-0.28,5.72,3.74,1.71,5.45,2000
94,Michigan,Big Ten,15,14,75.5,79.5,-4,9.27,10.55,-5.29,5.27,2000
95,Bradley,MVC,14,16,65.6,64.2,1.37,3.88,-1.27,6.52,5.25,2000
96,Hofstra,AEC,24,7,74.4,63.2,11.26,-6.03,1.21,4.02,5.23,2000
97,Georgia,SEC (East),10,20,71.6,75.1,-3.5,8.71,4.85,0.37,5.21,2000
98,Hawaii,WAC,17,12,76.2,73.3,2.86,2.23,5.62,-0.53,5.09,2000
99,Marshall,MAC (East),21,9,81.4,73.9,7.53,-0.16,10.53,-5.48,5.05,2000
100,Miami (OH),MAC (East),15,15,64,62.9,1.13,3.6,-5.04,9.77,4.73,2000
101,Toledo,MAC (West),18,13,70.9,68.7,2.13,2.56,1.04,3.65,4.68,2000
102,George Washington,A-10 (West),15,15,80.6,81.4,-0.87,5.41,13.81,-9.26,4.55,2000
103,Florida State,ACC,12,17,64.6,70.2,-5.59,10,-1.06,5.48,4.42,2000
104,Southeast Missouri State,OVC,24,7,69.5,61.6,7.84,-2.48,-4.9,9.32,4.41,2000
105,Northern Arizona,Big Sky,20,11,73.5,68.8,4.71,1.37,1.81,2.53,4.34,2000
106,Boston College,Big East,11,19,68.3,69.2,-0.87,5.07,0.63,3.58,4.21,2000
107,Cal State Northridge,Big Sky,20,10,77.6,73.6,4.03,0.41,5.53,-1.47,4.07,2000
108,Pennsylvania,Ivy,21,8,67,60.1,6.9,-2.89,-2.35,6.35,4,2000
109,Pittsburgh,Big East,13,15,66.6,67,-0.43,4.41,-0.65,4.63,3.98,2000
110,Santa Clara,WCC,19,12,66.1,65.4,0.74,3.51,-1.75,5.46,3.71,2000
111,West Virginia,Big East,14,14,70.5,71.9,-1.36,5,3.77,-0.13,3.65,2000
112,Detroit Mercy,MW Coll,20,12,69.7,64.5,5.16,0.14,-0.39,4.04,3.64,2000
113,Akron,MAC (East),17,11,75.9,71.8,4.18,1.32,4.3,-0.86,3.44,2000
114,Murray State,OVC,23,9,79.4,73,6.47,-2.39,7.37,-3.96,3.42,2000
115,UAB,CUSA (National),14,14,73.3,74.9,-1.54,4.94,5.75,-2.35,3.4,2000
116,Bowling Green State,MAC (East),22,8,75,70.5,4.53,0.79,3.6,-0.26,3.34,2000
117,Texas Tech,Big 12,12,16,70.3,72.1,-1.82,5.69,1.41,1.91,3.32,2000
118,Samford,TAAC,21,11,72.6,62.4,10.16,-5.8,-2.11,5.31,3.2,2000
119,Cleveland State,MW Coll,16,14,75.5,72.2,3.33,-0.16,6.66,-3.48,3.19,2000
120,Princeton,Ivy,19,11,61.7,54.6,7.1,-2.93,-10.24,13.24,3,2000
121,Virginia Tech,A-10 (West),16,15,64.4,63.9,0.55,2.45,-5.3,8.3,3,2000
122,Evansville,MVC,18,12,69,67.3,1.7,0.98,1.99,0.69,2.68,2000
123,Appalachian State,Southern (North),23,9,79.1,69.6,9.44,-3.75,4.58,-2.09,2.49,2000
124,Washington,Pac-10,10,20,66,72.8,-6.73,9.98,0.37,2.09,2.46,2000
125,Richmond,CAA,18,12,67,63.1,3.97,-1.55,-3.51,5.92,2.42,2000
126,UNC Wilmington,CAA,18,13,60.1,57.5,2.65,-0.24,-9.4,11.81,2.41,2000
127,Montana,Big Sky,17,11,72.4,69.4,3,0.47,1.74,0.66,2.4,2000
128,Louisiana,Sun Belt,25,9,71.8,67.7,4.12,-1.58,0.55,1.81,2.36,2000
129,Navy,Patriot,23,6,76,63.7,12.24,-8.17,3.9,-1.59,2.31,2000
130,Eastern Washington,Big Sky,15,12,74.1,71.6,2.52,1.48,2.25,0,2.26,2000
131,Baylor,Big 12,14,15,66.7,67.8,-1.14,4.59,-2.61,4.81,2.2,2000
132,Milwaukee,MW Coll,15,14,70.7,69,1.66,1.67,3.69,-1.52,2.17,2000
133,Weber State,Big Sky,18,10,77.3,73.4,3.89,0.46,5.7,-3.72,1.98,2000
134,Houston,CUSA (National),9,22,76.2,79.9,-3.65,6.44,10.18,-8.25,1.94,2000
135,Clemson,ACC,10,20,64.4,70,-5.57,7.39,-3.01,4.83,1.83,2000
136,Louisiana Tech,Sun Belt,21,8,72.8,66.9,5.9,-4.09,0.58,1.23,1.81,2000
137,Eastern Illinois,OVC,17,12,80.6,74.4,6.17,-1.99,7.67,-5.88,1.79,2000
138,Fordham,A-10 (East),14,15,75.5,76.6,-1.1,2.82,7.7,-5.98,1.71,2000
139,Eastern Michigan,MAC (West),15,13,71.9,70.6,1.32,1.87,1.08,0.37,1.45,2000
140,Siena,MAAC,24,9,86.7,80.9,5.85,-4.62,12.17,-10.94,1.23,2000
141,Nebraska,Big 12,11,19,68.3,74,-5.67,6.83,1.8,-0.64,1.17,2000
142,Providence,Big East,11,19,64.2,66.3,-2.1,5.28,-4.68,5.73,1.04,2000
143,UC Santa Barbara,Big West (West),14,14,66.8,65.1,1.64,0.15,-3.34,4.38,1.04,2000
144,College of Charleston,Southern (South),24,6,67.8,58.6,9.2,-7.04,-5.41,6.41,1,2000
145,George Mason,CAA,19,11,71.1,67.8,3.37,-2.37,1.97,-0.98,1,2000
146,Kansas State,Big 12,9,19,68.1,75.4,-7.32,8.32,1.9,-0.9,1,2000
147,Northern Illinois,MAC (West),13,15,69.4,68.5,0.86,1.56,-0.57,1.57,1,2000
148,San Jose State,WAC,15,15,59.9,59.7,0.17,3.79,-12.56,13.54,0.98,2000
149,Austin Peay,OVC,18,10,75.4,69.6,5.75,-3.29,-0.33,1.27,0.94,2000
150,Northern Iowa,MVC,14,15,62,63.6,-1.59,2.52,-5.57,6.5,0.93,2000
151,Green Bay,MW Coll,14,16,56.6,57.8,-1.2,1.84,-10.23,10.87,0.64,2000
152,Wichita State,MVC,12,17,66.4,67.4,-1,1.92,-1.35,1.92,0.57,2000
153,Boise State,Big West (East),12,15,62.2,62.2,0.04,0.5,-8.38,8.92,0.54,2000
154,Central Connecticut State,NEC,25,6,73.6,63.6,9.97,-9.55,-0.89,1.31,0.42,2000
155,Lafayette,Patriot,24,7,73.5,64.1,9.48,-8.07,2.59,-2.17,0.41,2000
156,South Alabama,Sun Belt,20,10,69.4,65.9,3.57,-3.15,-2.33,2.74,0.41,2000
157,La Salle,A-10 (West),11,17,65.9,68.7,-2.82,3.1,-2.16,2.44,0.28,2000
158,Tennessee Tech,OVC,16,12,81.4,73.9,7.54,-3.64,4.32,-4.3,0.01,2000
159,Delaware,AEC,24,8,76.5,68.8,7.63,-7.75,2.49,-2.61,-0.12,2000
160,Portland State,Big Sky,15,14,74.4,72.4,2.03,-0.09,3.17,-3.56,-0.39,2000
161,Florida International,Sun Belt,16,14,72.2,69.3,2.93,-2.07,-0.24,-0.21,-0.45,2000
162,Drake,MVC,11,18,62.2,63.6,-1.38,0.7,-5.44,4.76,-0.68,2000
163,Sam Houston State,Southland,22,7,73.4,67.9,5.59,-5.44,-0.06,-0.68,-0.74,2000
