"","Year","Round","Region Number","Region Name","Seed1","Score1","Team1","Team2","Score2","Seed2"
"370",1996,1,3,"East",2,93,"Georgetown","Mississippi Valley St",56,15
"371",1996,1,3,"East",3,74,"Texas Tech","Northern Illinois",73,14
"372",1996,1,3,"East",4,68,"Marquette","Monmouth",44,13
"373",1996,1,3,"East",5,80,"Penn St","Arkansas",86,12
"374",1996,1,3,"East",6,86,"North Carolina","New Orleans",62,11
"375",1996,1,3,"East",7,69,"New Mexico","Kansas St",48,10
"376",1996,1,3,"East",8,58,"Bradley","Stanford",66,9
"377",1996,1,4,"Midwest",1,110,"Kentucky","San Jose St",72,16
"378",1996,1,4,"Midwest",2,62,"Wake Forest","Louisiana Monroe",50,15
"379",1996,1,4,"Midwest",3,92,"Villanova","Portland",58,14
"380",1996,1,4,"Midwest",4,73,"Utah","Canisius",67,13
"381",1996,1,4,"Midwest",5,74,"Iowa St","California",64,12
"382",1996,1,4,"Midwest",6,82,"Louisville","Tulsa",80,11
"383",1996,1,4,"Midwest",7,76,"Michigan","Texas",80,10
"384",1996,1,4,"Midwest",8,48,"Wisconsin Green Bay","Virginia Tech",61,9
"385",1997,1,1,"West",1,92,"Kentucky","Montana",54,16
"386",1997,1,1,"West",2,75,"Utah","Navy",61,15
"387",1997,1,1,"West",3,68,"Wake Forest","St Marys",46,14
"388",1997,1,1,"West",4,75,"St Josephs","Pacific",65,13
"389",1997,1,1,"West",5,73,"Boston College","Valparaiso",66,12
"390",1997,1,1,"West",6,80,"Stanford","Oklahoma",67,11
"391",1997,1,1,"West",7,79,"Charlotte","Georgetown",67,10
"392",1997,1,1,"West",8,73,"Iowa","Virginia",60,9
"393",1997,1,2,"Midwest",1,78,"Minnesota","Southwest Texas St",46,16
"394",1997,1,2,"Midwest",2,109,"UCLA","Charleston Southern",75,15
"395",1997,1,2,"Midwest",3,86,"Cincinnati","Butler",69,14
"396",1997,1,2,"Midwest",4,68,"Clemson","Miami Ohio",56,13
"397",1997,1,2,"Midwest",5,81,"Tulsa","Boston University",58,12
"398",1997,1,2,"Midwest",6,69,"Iowa St","Illinois St",57,11
"399",1997,1,2,"Midwest",7,80,"Xavier","Vanderbilt",68,10
"400",1997,1,2,"Midwest",8,40,"Ole Miss","Temple",62,9
"401",1997,1,3,"East",1,82,"North Carolina","Fairfield",74,16
"402",1997,1,3,"East",2,65,"South Carolina","Coppin St",78,15
"403",1997,1,3,"East",3,59,"New Mexico","Old Dominion",55,14
"404",1997,1,3,"East",4,101,"Villanova","Long Island Brooklyn",91,13
"405",1997,1,3,"East",5,55,"California","Princeton",52,12
"406",1997,1,3,"East",6,65,"Louisville","Massachusetts",57,11
"407",1997,1,3,"East",7,58,"Wisconsin","Texas",71,10
"408",1997,1,3,"East",8,62,"Indiana","Colorado",80,9
"409",1997,1,4,"Southeast",1,78,"Kansas","Jackson St",64,16
"410",1997,1,4,"Southeast",2,71,"Duke","Murray St",68,15
"411",1997,1,4,"Southeast",3,70,"Georgia","Chattanooga",73,14
"412",1997,1,4,"Southeast",4,65,"Arizona","South Alabama",57,13
"413",1997,1,4,"Southeast",5,66,"Maryland","College of Charleston",75,12
"414",1997,1,4,"Southeast",6,90,"Illinois","USC",77,11
"415",1997,1,4,"Southeast",7,59,"Marquette","Providence",81,10
"416",1997,1,4,"Southeast",8,83,"Purdue","Rhode Island",76,9
"417",1998,1,1,"East",1,88,"North Carolina","Navy",52,16
"418",1998,1,1,"East",2,93,"Connecticut","Fairleigh Dickinson",85,15
"419",1998,1,1,"East",3,61,"South Carolina","Richmond",62,14
"420",1998,1,1,"East",4,83,"Michigan St","Eastern Michigan",71,13
"421",1998,1,1,"East",5,69,"Princeton","UNLV",57,12
"422",1998,1,1,"East",6,68,"Xavier","Washington",69,11
"423",1998,1,1,"East",7,94,"Indiana","Oklahoma",87,10
"424",1998,1,1,"East",8,77,"Charlotte","Illinois Chicago",62,9
"425",1998,1,2,"West",1,99,"Arizona","Nicholls St",60,16
"426",1998,1,2,"West",2,65,"Cincinnati","Northern Arizona",62,15
"427",1998,1,2,"West",3,85,"Utah","San Francisco",68,14
"428",1998,1,2,"West",4,82,"Maryland","Utah St",68,13
"429",1998,1,2,"West",5,64,"Illinois","South Alabama",51,12
"430",1998,1,2,"West",6,74,"Arkansas","Nebraska",65,11
"431",1998,1,2,"West",7,52,"Temple","West Virginia",82,10
"432",1998,1,2,"West",8,81,"Tennessee","Illinois St",82,9
"433",1998,1,3,"Midwest",1,110,"Kansas","Prairie View",52,16
"434",1998,1,3,"Midwest",2,95,"Purdue","Delaware",56,15
"435",1998,1,3,"Midwest",3,67,"Stanford","College of Charleston",57,14
"436",1998,1,3,"Midwest",4,69,"Ole Miss","Valparaiso",70,13
"437",1998,1,3,"Midwest",5,87,"TCU","Florida St",96,12
"438",1998,1,3,"Midwest",6,72,"Clemson","Western Michigan",75,11
"439",1998,1,3,"Midwest",7,64,"St Johns","Detroit",66,10
"440",1998,1,3,"Midwest",8,97,"Rhode Island","Murray St",74,9
"441",1998,1,4,"South",1,99,"Duke","Radford",63,16
"442",1998,1,4,"South",2,82,"Kentucky","South Carolina St",67,15
"443",1998,1,4,"South",3,80,"Michigan","Davidson",61,14
"444",1998,1,4,"South",4,79,"New Mexico","Butler",62,13
"445",1998,1,4,"South",5,63,"Syracuse","Iona",61,12
"446",1998,1,4,"South",6,65,"UCLA","Miami",62,11
"447",1998,1,4,"South",7,46,"Massachusetts","St Louis",51,10
"448",1998,1,4,"South",8,74,"Oklahoma St","George Washington",59,9
"449",1999,1,1,"East",1,99,"Duke","Florida A&M",58,16
"450",1999,1,1,"East",2,75,"Miami","Lafayette",54,15
"451",1999,1,1,"East",3,72,"Cincinnati","George Mason",48,14
"452",1999,1,1,"East",4,62,"Tennessee","Delaware",52,13
"453",1999,1,1,"East",5,32,"Wisconsin","Southwest Missouri St",43,12
"454",1999,1,1,"East",6,61,"Temple","Kent St",54,11
"455",1999,1,1,"East",7,54,"Texas","Purdue",58,10
"456",1999,1,1,"East",8,53,"College of Charleston","Tulsa",62,9
"457",1999,1,2,"Midwest",1,76,"Michigan St","Mount St Marys",53,16
"458",1999,1,2,"Midwest",2,80,"Utah","Arkansas St",58,15
"459",1999,1,2,"Midwest",3,82,"Kentucky","New Mexico St",60,14
"460",1999,1,2,"Midwest",4,60,"Arizona","Oklahoma",61,13
"461",1999,1,2,"Midwest",5,81,"Charlotte","Rhode Island",70,12
"462",1999,1,2,"Midwest",6,95,"Kansas","Evansville",74,11
"463",1999,1,2,"Midwest",7,58,"Washington","Miami Ohio",59,10
"464",1999,1,2,"Midwest",8,70,"Villanova","Ole Miss",72,9
"465",1999,1,3,"South",1,80,"Auburn","Winthrop",41,16
"466",1999,1,3,"South",2,82,"Maryland","Valparaiso",60,15
"467",1999,1,3,"South",3,69,"St Johns","Samford",43,14
"468",1999,1,3,"South",4,72,"Ohio St","Murray St",58,13
"469",1999,1,3,"South",5,53,"UCLA","Detroit",56,12
"470",1999,1,3,"South",6,108,"Indiana","George Washington",88,11
"471",1999,1,3,"South",7,58,"Louisville","Creighton",62,10
"472",1999,1,3,"South",8,61,"Syracuse","Oklahoma St",69,9
"473",1999,1,4,"West",1,91,"Connecticut","Texas San Antonio",66,16
"474",1999,1,4,"West",2,69,"Stanford","Alcorn St",57,15
"475",1999,1,4,"West",3,74,"North Carolina","Weber St",76,14
"476",1999,1,4,"West",4,94,"Arkansas","Siena",80,13
"477",1999,1,4,"West",5,77,"Iowa","UAB",64,12
"478",1999,1,4,"West",6,75,"Florida","Pennsylvania",61,11
"479",1999,1,4,"West",7,63,"Minnesota","Gonzaga",75,10
"480",1999,1,4,"West",8,59,"Missouri","New Mexico",61,9
"481",2000,1,1,"West",1,71,"Arizona","Jackson St",47,16
"482",2000,1,1,"West",2,61,"St Johns","Northern Arizona",56,15
"483",2000,1,1,"West",3,74,"Oklahoma","Winthrop",50,14
"484",2000,1,1,"West",4,64,"LSU","Southeast Missouri St",61,13
"485",2000,1,1,"West",5,77,"Texas","Indiana St",61,12
"486",2000,1,1,"West",6,62,"Purdue","Dayton",61,11
"487",2000,1,1,"West",7,66,"Louisville","Gonzaga",77,10
"488",2000,1,1,"West",8,66,"Wisconsin","Fresno St",56,9
"489",2000,1,2,"Midwest",1,65,"Michigan St","Valparaiso",38,16
"490",2000,1,2,"Midwest",2,88,"Iowa St","Central Connecticut St",78,15
"491",2000,1,2,"Midwest",3,74,"Maryland","Iona",59,14
"492",2000,1,2,"Midwest",4,79,"Syracuse","Samford",65,13
"493",2000,1,2,"Midwest",5,85,"Kentucky","St Bonaventure",80,12
"494",2000,1,2,"Midwest",6,65,"UCLA","Ball St",57,11
"495",2000,1,2,"Midwest",7,72,"Auburn","Creighton",69,10
"496",2000,1,2,"Midwest",8,48,"Utah","St Louis",45,9
"497",2000,1,3,"East",1,82,"Duke","Lamar",55,16
"498",2000,1,3,"East",2,73,"Temple","Lafayette",47,15
"499",2000,1,3,"East",3,86,"Oklahoma St","Hofstra",66,14
"500",2000,1,3,"East",4,68,"Illinois","Pennsylvania",48,13
"501",2000,1,3,"East",5,69,"Florida","Butler",68,12
"502",2000,1,3,"East",6,57,"Indiana","Pepperdine",77,11
"503",2000,1,3,"East",7,71,"Oregon","Seton Hall",72,10
"504",2000,1,3,"East",8,81,"Kansas","DePaul",77,9
"505",2000,1,4,"South",1,84,"Stanford","South Carolina St",65,16
"506",2000,1,4,"South",2,64,"Cincinnati","UNC Wilmington",47,15
"507",2000,1,4,"South",3,87,"Ohio St","Appalachian St",61,14
"508",2000,1,4,"South",4,63,"Tennessee","Louisiana Lafayette",58,13
"509",2000,1,4,"South",5,75,"Connecticut","Utah St",67,12
"510",2000,1,4,"South",6,75,"Miami","Arkansas",71,11
"511",2000,1,4,"South",7,89,"Tulsa","UNLV",62,10
"512",2000,1,4,"South",8,84,"North Carolina","Missouri",70,9
"513",2001,1,1,"Midwest",1,96,"Illinois","Northwestern St",54,16
"514",2001,1,1,"Midwest",2,101,"Arizona","Eastern Illinois",76,15
"515",2001,1,1,"Midwest",3,72,"Ole Miss","Iona",70,14
"516",2001,1,1,"Midwest",4,99,"Kansas","Cal St Northridge",75,13
"517",2001,1,1,"Midwest",5,79,"Syracuse","Hawaii",69,12
"518",2001,1,1,"Midwest",6,83,"Notre Dame","Xavier",71,11
"519",2001,1,1,"Midwest",7,63,"Wake Forest","Butler",79,10
"520",2001,1,1,"Midwest",8,63,"Tennessee","Charlotte",70,9
"521",2001,1,2,"South",1,69,"Michigan St","Alabama St",35,16
"522",2001,1,2,"South",2,70,"North Carolina","Princeton",48,15
"523",2001,1,2,"South",3,69,"Florida","Western Kentucky",56,14
"524",2001,1,2,"South",4,68,"Oklahoma","Indiana St",70,13
"525",2001,1,2,"South",5,85,"Virginia","Gonzaga",86,12
"526",2001,1,2,"South",6,65,"Texas","Temple",79,11
"527",2001,1,2,"South",7,69,"Penn St","Providence",59,10
"528",2001,1,2,"South",8,70,"California","Fresno St",82,9
"529",2001,1,3,"East",1,95,"Duke","Monmouth",52,16
"530",2001,1,3,"East",2,72,"Kentucky","Holy Cross",68,15
"531",2001,1,3,"East",3,68,"Boston College","Southern Utah",65,14
"532",2001,1,3,"East",4,61,"UCLA","Hofstra",48,13
"533",2001,1,3,"East",5,68,"Ohio St","Utah St",77,12
"534",2001,1,3,"East",6,69,"USC","Oklahoma St",54,11
"535",2001,1,3,"East",7,69,"Iowa","Creighton",56,10
"536",2001,1,3,"East",8,68,"Georgia","Missouri",70,9
"537",2001,1,4,"West",1,89,"Stanford","UNC Greensboro",60,16
"538",2001,1,4,"West",2,57,"Iowa St","Hampton",58,15
"539",2001,1,4,"West",3,83,"Maryland","George Mason",80,14
"540",2001,1,4,"West",4,73,"Indiana","Kent St",77,13
"541",2001,1,4,"West",5,84,"Cincinnati","BYU",59,12
"542",2001,1,4,"West",6,49,"Wisconsin","Georgia St",50,11
"543",2001,1,4,"West",7,61,"Arkansas","Georgetown",63,10
"544",2001,1,4,"West",8,62,"Georgia Tech","St Josephs",66,9
"545",2002,1,1,"South",1,84,"Duke","Winthrop",37,16
"546",2002,1,1,"South",2,86,"Alabama","Florida Atlantic",78,15
"547",2002,1,1,"South",3,71,"Pittsburgh","Central Connecticut St",54,14
"548",2002,1,1,"South",4,89,"USC","UNC Wilmington",93,13
"549",2002,1,1,"South",5,75,"Indiana","Utah",56,12
"550",2002,1,1,"South",6,82,"California","Pennsylvania",75,11
"551",2002,1,1,"South",7,61,"Oklahoma St","Kent St",69,10
"552",2002,1,1,"South",8,82,"Notre Dame","Charlotte",63,9
"553",2002,1,2,"West",1,90,"Cincinnati","Boston University",52,16
"554",2002,1,2,"West",2,71,"Oklahoma","Illinois Chicago",63,15
"555",2002,1,2,"West",3,86,"Arizona","Santa Barbara",81,14
"556",2002,1,2,"West",4,69,"Ohio St","Davidson",64,13
"557",2002,1,2,"West",5,80,"Miami","Missouri",93,12
"558",2002,1,2,"West",6,66,"Gonzaga","Wyoming",73,11
"559",2002,1,2,"West",7,70,"Xavier","Hawaii",58,10
"560",2002,1,2,"West",8,80,"UCLA","Ole Miss",58,9
"561",2002,1,3,"East",1,85,"Maryland","Siena",70,16
"562",2002,1,3,"East",2,78,"Connecticut","Hampton",67,15
"563",2002,1,3,"East",3,85,"Georgia","Murray St",68,14
"564",2002,1,3,"East",4,83,"Kentucky","Valparaiso",68,13
"565",2002,1,3,"East",5,69,"Marquette","Tulsa",71,12
"566",2002,1,3,"East",6,68,"Texas Tech","Southern Illinois",76,11
"567",2002,1,3,"East",7,69,"NC State","Michigan St",58,10
"568",2002,1,3,"East",8,80,"Wisconsin","St Johns",70,9
"569",2002,1,4,"Midwest",1,70,"Kansas","Holy Cross",59,16
"570",2002,1,4,"Midwest",2,81,"Oregon","Montana",62,15
"571",2002,1,4,"Midwest",3,70,"Mississippi St","McNeese St",58,14
"572",2002,1,4,"Midwest",4,93,"Illinois","San Diego St",64,13
"573",2002,1,4,"Midwest",5,82,"Florida","Creighton",83,12
"574",2002,1,4,"Midwest",6,70,"Texas","Boston College",57,11
"575",2002,1,4,"Midwest",7,83,"Wake Forest","Pepperdine",74,10
"576",2002,1,4,"Midwest",8,84,"Stanford","Western Kentucky",68,9
"577",2003,1,1,"Midwest",1,95,"Kentucky","IUPUI",64,16
"578",2003,1,1,"Midwest",2,87,"Pittsburgh","Wagner",61,15
"579",2003,1,1,"Midwest",3,72,"Marquette","Holy Cross",68,14
"580",2003,1,1,"Midwest",4,71,"Dayton","Tulsa",84,13
"581",2003,1,1,"Midwest",5,81,"Wisconsin","Weber St",74,12
"582",2003,1,1,"Midwest",6,72,"Missouri","Southern Illinois",71,11
"583",2003,1,1,"Midwest",7,67,"Indiana","Alabama",62,10
"584",2003,1,1,"Midwest",8,58,"Oregon","Utah",60,9
"585",2003,1,2,"West",1,80,"Arizona","Vermont",51,16
"586",2003,1,2,"West",2,64,"Kansas","Utah St",61,15
"587",2003,1,2,"West",3,67,"Duke","Colorado St",57,14
"588",2003,1,2,"West",4,65,"Illinois","Western Kentucky",60,13
"589",2003,1,2,"West",5,70,"Notre Dame","Wisconsin Milwaukee",69,12
"590",2003,1,2,"West",6,73,"Creighton","Central Michigan",79,11
"591",2003,1,2,"West",7,71,"Memphis","Arizona St",84,10
"592",2003,1,2,"West",8,69,"Cincinnati","Gonzaga",74,9
"593",2003,1,3,"South",1,82,"Texas","UNC Asheville",61,16
"594",2003,1,3,"South",2,85,"Florida","Sam Houston St",55,15
"595",2003,1,3,"South",3,71,"Xavier","Troy",59,14
"596",2003,1,3,"South",4,77,"Stanford","San Diego",69,13
"597",2003,1,3,"South",5,58,"Connecticut","BYU",53,12
"598",2003,1,3,"South",6,75,"Maryland","UNC Wilmington",73,11
"599",2003,1,3,"South",7,79,"Michigan St","Colorado",64,10
"600",2003,1,3,"South",8,56,"LSU","Purdue",80,9
"601",2003,1,4,"East",1,71,"Oklahoma","South Carolina St",54,16
"602",2003,1,4,"East",2,76,"Wake Forest","East Tennessee St",73,15
"603",2003,1,4,"East",3,76,"Syracuse","Manhattan",65,14
"604",2003,1,4,"East",4,86,"Louisville","Austin Peay",64,13
"605",2003,1,4,"East",5,46,"Mississippi St","Butler",47,12
"606",2003,1,4,"East",6,77,"Oklahoma St","Pennsylvania",63,11
"607",2003,1,4,"East",7,63,"St Josephs","Auburn",65,10
"608",2003,1,4,"East",8,76,"California","NC State",74,9
"609",2004,1,1,"Midwest",1,96,"Kentucky","Florida A&M",76,16
"610",2004,1,1,"Midwest",2,76,"Gonzaga","Valparaiso",49,15
"611",2004,1,1,"Midwest",3,65,"Georgia Tech","Northern Iowa",60,14
"612",2004,1,1,"Midwest",4,78,"Kansas","Illinois Chicago",53,13
"613",2004,1,1,"Midwest",5,58,"Providence","Pacific",66,12
"614",2004,1,1,"Midwest",6,58,"Boston College","Utah",51,11
"615",2004,1,1,"Midwest",7,66,"Michigan St","Nevada",72,10
"616",2004,1,1,"Midwest",8,100,"Washington","UAB",102,9
"617",2004,1,2,"East",1,82,"St Josephs","Liberty",63,16
"618",2004,1,2,"East",2,75,"Oklahoma St","Eastern Washington",56,15
"619",2004,1,2,"East",3,53,"Pittsburgh","Central Florida",44,14
"620",2004,1,2,"East",4,79,"Wake Forest","VCU",78,13
"621",2004,1,2,"East",5,60,"Florida","Manhattan",75,12
"622",2004,1,2,"East",6,76,"Wisconsin","Richmond",64,11
"623",2004,1,2,"East",7,59,"Memphis","South Carolina",43,10
"624",2004,1,2,"East",8,76,"Texas Tech","Charlotte",73,9
"625",2004,1,3,"South",1,96,"Duke","Alabama St",61,16
"626",2004,1,3,"South",2,85,"Mississippi St","Monmouth",52,15
"627",2004,1,3,"South",3,66,"Texas","Princeton",49,14
"628",2004,1,3,"South",4,80,"Cincinnati","East Tennessee St",77,13
"629",2004,1,3,"South",5,72,"Illinois","Murray St",53,12
"630",2004,1,3,"South",6,63,"North Carolina","Air Force",52,11
"631",2004,1,3,"South",7,80,"Xavier","Louisville",70,10
"632",2004,1,3,"South",8,80,"Seton Hall","Arizona",76,9
"633",2004,1,4,"West",1,71,"Stanford","Texas San Antonio",45,16
"634",2004,1,4,"West",2,70,"Connecticut","Vermont",53,15
"635",2004,1,4,"West",3,61,"NC State","Louisiana Lafayette",52,14
"636",2004,1,4,"West",4,86,"Maryland","UTEP",83,13
"637",2004,1,4,"West",5,80,"Syracuse","BYU",75,12
"638",2004,1,4,"West",6,71,"Vanderbilt","Western Michigan",58,11
"639",2004,1,4,"West",7,76,"DePaul","Dayton",69,10
"640",2004,1,4,"West",8,65,"Alabama","Southern Illinois",64,9
"641",2005,1,1,"Midwest",1,67,"Illinois","Fairleigh Dickinson",55,16
"642",2005,1,1,"Midwest",2,63,"Oklahoma St","Southeastern Louisiana",50,15
"643",2005,1,1,"Midwest",3,66,"Arizona","Utah St",53,14
"644",2005,1,1,"Midwest",4,85,"Boston College","Pennsylvania",65,13
"645",2005,1,1,"Midwest",5,73,"Alabama","Wisconsin Milwaukee",83,12
"646",2005,1,1,"Midwest",6,68,"LSU","UAB",82,11
"647",2005,1,1,"Midwest",7,65,"Southern Illinois","St Marys",56,10
"648",2005,1,1,"Midwest",8,57,"Texas","Nevada",61,9
"649",2005,1,2,"West",1,88,"Washington","Montana",77,16
"650",2005,1,2,"West",2,70,"Wake Forest","Chattanooga",54,15
"651",2005,1,2,"West",3,74,"Gonzaga","Winthrop",64,14
"652",2005,1,2,"West",4,68,"Louisville","Louisiana Lafayette",62,13
"653",2005,1,2,"West",5,80,"Georgia Tech","George Washington",68,12
"654",2005,1,2,"West",6,78,"Texas Tech","UCLA",66,11
"655",2005,1,2,"West",7,63,"West Virginia","Creighton",61,10
"656",2005,1,2,"West",8,79,"Pacific","Pittsburgh",71,9
"657",2005,1,3,"East",1,96,"North Carolina","Oakland",68,16
"658",2005,1,3,"East",2,77,"Connecticut","Central Florida",71,15
"659",2005,1,3,"East",3,63,"Kansas","Bucknell",64,14
"660",2005,1,3,"East",4,67,"Florida","Ohio",62,13
"661",2005,1,3,"East",5,55,"Villanova","New Mexico",47,12
"662",2005,1,3,"East",6,57,"Wisconsin","Northern Iowa",52,11
"663",2005,1,3,"East",7,63,"Charlotte","NC State",75,10
"664",2005,1,3,"East",8,53,"Minnesota","Iowa St",64,9
"665",2005,1,4,"South",1,63,"Duke","Delaware St",46,16
"666",2005,1,4,"South",2,72,"Kentucky","Eastern Kentucky",64,15
"667",2005,1,4,"South",3,84,"Oklahoma","Niagara",67,14
"668",2005,1,4,"South",4,57,"Syracuse","Vermont",60,13
"669",2005,1,4,"South",5,89,"Michigan St","Old Dominion",81,12
"670",2005,1,4,"South",6,60,"Utah","UTEP",54,11
"671",2005,1,4,"South",7,76,"Cincinnati","Iowa",64,10
"672",2005,1,4,"South",8,70,"Stanford","Mississippi St",93,9
"673",2006,1,1,"South",1,70,"Duke","Southern",54,16
"674",2006,1,1,"South",2,60,"Texas","Pennsylvania",52,15
"675",2006,1,1,"South",3,63,"Iowa","Northwestern St",64,14
"676",2006,1,1,"South",4,80,"LSU","Iona",64,13
"677",2006,1,1,"South",5,58,"Syracuse","Texas A&M",66,12
"678",2006,1,1,"South",6,64,"West Virginia","Southern Illinois",46,11
"679",2006,1,1,"South",7,52,"California","NC State",58,10
"680",2006,1,1,"South",8,88,"George Washington","UNC Wilmington",85,9
"681",2006,1,2,"West",1,94,"Memphis","Oral Roberts",78,16
"682",2006,1,2,"West",2,78,"UCLA","Belmont",44,15
"683",2006,1,2,"West",3,79,"Gonzaga","Xavier",75,14
"684",2006,1,2,"West",4,73,"Kansas","Bradley",77,13
"685",2006,1,2,"West",5,79,"Pittsburgh","Kent St",64,12
"686",2006,1,2,"West",6,87,"Indiana","San Diego St",83,11
"687",2006,1,2,"West",7,85,"Marquette","Alabama",90,10
"688",2006,1,2,"West",8,55,"Arkansas","Bucknell",59,9
"689",2006,1,3,"East",1,72,"Connecticut","Albany",59,16
"690",2006,1,3,"East",2,63,"Tennessee","Winthrop",61,15
"691",2006,1,3,"East",3,69,"North Carolina","Murray St",65,14
"692",2006,1,3,"East",4,78,"Illinois","Air Force",69,13
"693",2006,1,3,"East",5,75,"Washington","Utah St",61,12
"694",2006,1,3,"East",6,65,"Michigan St","George Mason",75,11
"695",2006,1,3,"East",7,86,"Wichita St","Seton Hall",66,10
"696",2006,1,3,"East",8,69,"Kentucky","UAB",64,9
"697",2006,1,4,"Midwest",1,58,"Villanova","Monmouth",45,16
"698",2006,1,4,"Midwest",2,70,"Ohio St","Davidson",62,15
"699",2006,1,4,"Midwest",3,76,"Florida","South Alabama",50,14
"700",2006,1,4,"Midwest",4,88,"Boston College","Pacific",76,13
"701",2006,1,4,"Midwest",5,79,"Nevada","Montana",87,12
"702",2006,1,4,"Midwest",6,74,"Oklahoma","Wisconsin Milwaukee",82,11
"703",2006,1,4,"Midwest",7,54,"Georgetown","Northern Iowa",49,10
"704",2006,1,4,"Midwest",8,94,"Arizona","Wisconsin",75,9
"705",2007,1,1,"Midwest",1,112,"Florida","Jackson St",69,16
"706",2007,1,1,"Midwest",2,76,"Wisconsin","Texas A&M Corpus Christi",63,15
"707",2007,1,1,"Midwest",3,58,"Oregon","Miami Ohio",56,14
"708",2007,1,1,"Midwest",4,82,"Maryland","Davidson",70,13
"709",2007,1,1,"Midwest",5,57,"Butler","Old Dominion",46,12
"710",2007,1,1,"Midwest",6,64,"Notre Dame","Winthrop",74,11
"711",2007,1,1,"Midwest",7,67,"UNLV","Georgia Tech",63,10
"712",2007,1,1,"Midwest",8,63,"Arizona","Purdue",72,9
"713",2007,1,2,"West",1,107,"Kansas","Niagara",67,16
"714",2007,1,2,"West",2,70,"UCLA","Weber St",42,15
"715",2007,1,2,"West",3,79,"Pittsburgh","Wright St",58,14
"716",2007,1,2,"West",4,61,"Southern Illinois","Holy Cross",51,13
"717",2007,1,2,"West",5,54,"Virginia Tech","Illinois",52,12
"718",2007,1,2,"West",6,77,"Duke","VCU",79,11
"719",2007,1,2,"West",7,70,"Indiana","Gonzaga",57,10
"720",2007,1,2,"West",8,67,"Kentucky","Villanova",58,9
"721",2007,1,3,"East",1,85,"North Carolina","Eastern Kentucky",65,16
"722",2007,1,3,"East",2,80,"Georgetown","Belmont",55,15
"723",2007,1,3,"East",3,70,"Washington St","Oral Roberts",54,14
"724",2007,1,3,"East",4,79,"Texas","New Mexico St",67,13
"725",2007,1,3,"East",5,77,"USC","Arkansas",60,12
"726",2007,1,3,"East",6,77,"Vanderbilt","George Washington",44,11
"727",2007,1,3,"East",7,84,"Boston College","Texas Tech",75,10
"728",2007,1,3,"East",8,49,"Marquette","Michigan St",61,9
"729",2007,1,4,"South",1,78,"Ohio St","Central Connecticut St",57,16
"730",2007,1,4,"South",2,73,"Memphis","North Texas",58,15
"731",2007,1,4,"South",3,68,"Texas A&M","Pennsylvania",52,14
"732",2007,1,4,"South",4,84,"Virginia","Albany",57,13
"733",2007,1,4,"South",5,121,"Tennessee","Long Beach St",86,12
"734",2007,1,4,"South",6,78,"Louisville","Stanford",58,11
"735",2007,1,4,"South",7,77,"Nevada","Creighton",71,10
"736",2007,1,4,"South",8,77,"BYU","Xavier",79,9
"737",2008,1,1,"East",1,113,"North Carolina","Mount St Marys",74,16
"738",2008,1,1,"East",2,72,"Tennessee","American",57,15
"739",2008,1,1,"East",3,79,"Louisville","Boise St",61,14
"740",2008,1,1,"East",4,71,"Washington St","Winthrop",40,13
"741",2008,1,1,"East",5,68,"Notre Dame","George Mason",50,12
"742",2008,1,1,"East",6,72,"Oklahoma","St Josephs",64,11
"743",2008,1,1,"East",7,81,"Butler","South Alabama",61,10
