"","Year","Round","Region Number","Region Name","Seed1","Score1","Team1","Team2","Score2","Seed2"
"744",2008,1,1,"East",8,72,"Indiana","Arkansas",86,9
"745",2008,1,2,"Midwest",1,85,"Kansas","Portland St",61,16
"746",2008,1,2,"Midwest",2,66,"Georgetown","UMBC",47,15
"747",2008,1,2,"Midwest",3,71,"Wisconsin","Cal St Fullerton",56,14
"748",2008,1,2,"Midwest",4,62,"Vanderbilt","Siena",83,13
"749",2008,1,2,"Midwest",5,69,"Clemson","Villanova",75,12
"750",2008,1,2,"Midwest",6,67,"USC","Kansas St",80,11
"751",2008,1,2,"Midwest",7,76,"Gonzaga","Davidson",82,10
"752",2008,1,2,"Midwest",8,71,"UNLV","Kent St",58,9
"753",2008,1,3,"South",1,87,"Memphis","Texas Arlington",63,16
"754",2008,1,3,"South",2,74,"Texas","Austin Peay",54,15
"755",2008,1,3,"South",3,77,"Stanford","Cornell",53,14
"756",2008,1,3,"South",4,82,"Pittsburgh","Oral Roberts",63,13
"757",2008,1,3,"South",5,72,"Michigan St","Temple",61,12
"758",2008,1,3,"South",6,74,"Marquette","Kentucky",66,11
"759",2008,1,3,"South",7,78,"Miami","St Marys",64,10
"760",2008,1,3,"South",8,76,"Mississippi St","Oregon",69,9
"761",2008,1,4,"West",1,70,"UCLA","Mississippi Valley St",29,16
"762",2008,1,4,"West",2,71,"Duke","Belmont",70,15
"763",2008,1,4,"West",3,73,"Xavier","Georgia",61,14
"764",2008,1,4,"West",4,69,"Connecticut","San Diego",70,13
"765",2008,1,4,"West",5,99,"Drake","Western Kentucky",101,12
"766",2008,1,4,"West",6,90,"Purdue","Baylor",79,11
"767",2008,1,4,"West",7,75,"West Virginia","Arizona",65,10
"768",2008,1,4,"West",8,62,"BYU","Texas A&M",67,9
"769",2009,1,1,"Midwest",1,74,"Louisville","Morehead St",54,16
"770",2009,1,1,"Midwest",2,77,"Michigan St","Robert Morris",62,15
"771",2009,1,1,"Midwest",3,84,"Kansas","North Dakota St",74,14
"772",2009,1,1,"Midwest",4,69,"Wake Forest","Cleveland St",84,13
"773",2009,1,1,"Midwest",5,71,"Utah","Arizona",84,12
"774",2009,1,1,"Midwest",6,60,"West Virginia","Dayton",68,11
"775",2009,1,1,"Midwest",7,55,"Boston College","USC",72,10
"776",2009,1,1,"Midwest",8,72,"Ohio St","Siena",74,9
"777",2009,1,2,"West",1,103,"Connecticut","Chattanooga",47,16
"778",2009,1,2,"West",2,81,"Memphis","Cal St Northridge",70,15
"779",2009,1,2,"West",3,78,"Missouri","Cornell",59,14
"780",2009,1,2,"West",4,71,"Washington","Mississippi St",58,13
"781",2009,1,2,"West",5,61,"Purdue","Northern Iowa",56,12
"782",2009,1,2,"West",6,58,"Marquette","Utah St",57,11
"783",2009,1,2,"West",7,71,"California","Maryland",84,10
"784",2009,1,2,"West",8,66,"BYU","Texas A&M",79,9
"785",2009,1,3,"East",1,72,"Pittsburgh","East Tennessee St",62,16
"786",2009,1,3,"East",2,85,"Duke","Binghamton",62,15
"787",2009,1,3,"East",3,80,"Villanova","American",67,14
"788",2009,1,3,"East",4,77,"Xavier","Portland St",59,13
"789",2009,1,3,"East",5,59,"Florida St","Wisconsin",61,12
"790",2009,1,3,"East",6,65,"UCLA","VCU",64,11
"791",2009,1,3,"East",7,76,"Texas","Minnesota",62,10
"792",2009,1,3,"East",8,77,"Oklahoma St","Tennessee",75,9
"793",2009,1,4,"South",1,101,"North Carolina","Radford",58,16
"794",2009,1,4,"South",2,82,"Oklahoma","Morgan St",54,15
"795",2009,1,4,"South",3,59,"Syracuse","Stephen F Austin",44,14
"796",2009,1,4,"South",4,77,"Gonzaga","Akron",64,13
"797",2009,1,4,"South",5,72,"Illinois","Western Kentucky",76,12
"798",2009,1,4,"South",6,66,"Arizona St","Temple",57,11
"799",2009,1,4,"South",7,59,"Clemson","Michigan",62,10
"800",2009,1,4,"South",8,75,"LSU","Butler",71,9
"801",2010,1,1,"Midwest",1,90,"Kansas","Lehigh",74,16
"802",2010,1,1,"Midwest",2,68,"Ohio St","Santa Barbara",51,15
"803",2010,1,1,"Midwest",3,83,"Georgetown","Ohio",97,14
"804",2010,1,1,"Midwest",4,89,"Maryland","Houston",77,13
"805",2010,1,1,"Midwest",5,70,"Michigan St","New Mexico St",67,12
"806",2010,1,1,"Midwest",6,62,"Tennessee","San Diego St",59,11
"807",2010,1,1,"Midwest",7,59,"Oklahoma St","Georgia Tech",64,10
"808",2010,1,1,"Midwest",8,66,"UNLV","Northern Iowa",69,9
"809",2010,1,2,"West",1,79,"Syracuse","Vermont",56,16
"810",2010,1,2,"West",2,82,"Kansas St","North Texas",62,15
"811",2010,1,2,"West",3,89,"Pittsburgh","Oakland",66,14
"812",2010,1,2,"West",4,65,"Vanderbilt","Murray St",66,13
"813",2010,1,2,"West",5,77,"Butler","UTEP",59,12
"814",2010,1,2,"West",6,65,"Xavier","Minnesota",54,11
"815",2010,1,2,"West",7,99,"BYU","Florida",92,10
"816",2010,1,2,"West",8,67,"Gonzaga","Florida St",60,9
"817",2010,1,3,"East",1,100,"Kentucky","East Tennessee St",71,16
"818",2010,1,3,"East",2,77,"West Virginia","Morgan St",50,15
"819",2010,1,3,"East",3,62,"New Mexico","Montana",57,14
"820",2010,1,3,"East",4,53,"Wisconsin","Wofford",49,13
"821",2010,1,3,"East",5,65,"Temple","Cornell",78,12
"822",2010,1,3,"East",6,78,"Marquette","Washington",80,11
"823",2010,1,3,"East",7,78,"Clemson","Missouri",86,10
"824",2010,1,3,"East",8,80,"Texas","Wake Forest",81,9
"825",2010,1,4,"South",1,73,"Duke","Arkansas Pine Bluff",44,16
"826",2010,1,4,"South",2,73,"Villanova","Robert Morris",70,15
"827",2010,1,4,"South",3,68,"Baylor","Sam Houston St",59,14
"828",2010,1,4,"South",4,72,"Purdue","Siena",64,13
"829",2010,1,4,"South",5,69,"Texas A&M","Utah St",53,12
"830",2010,1,4,"South",6,50,"Notre Dame","Old Dominion",51,11
"831",2010,1,4,"South",7,71,"Richmond","St Marys",80,10
"832",2010,1,4,"South",8,77,"California","Louisville",62,9
"833",2011,1,1,"East",1,75,"Ohio St","Texas San Antonio",46,16
"834",2011,1,1,"East",2,102,"North Carolina","Long Island Brooklyn",87,15
"835",2011,1,1,"East",3,77,"Syracuse","Indiana St",60,14
"836",2011,1,1,"East",4,59,"Kentucky","Princeton",57,13
"837",2011,1,1,"East",5,84,"West Virginia","Clemson",78,12
"838",2011,1,1,"East",6,55,"Xavier","Marquette",66,11
"839",2011,1,1,"East",7,68,"Washington","Georgia",65,10
"840",2011,1,1,"East",8,61,"George Mason","Villanova",57,9
"841",2011,1,2,"West",1,87,"Duke","Hampton",45,16
"842",2011,1,2,"West",2,68,"San Diego St","Northern Colorado",50,15
"843",2011,1,2,"West",3,81,"Connecticut","Bucknell",52,14
"844",2011,1,2,"West",4,85,"Texas","Oakland",81,13
"845",2011,1,2,"West",5,77,"Arizona","Memphis",75,12
"846",2011,1,2,"West",6,78,"Cincinnati","Missouri",63,11
"847",2011,1,2,"West",7,66,"Temple","Penn St",64,10
"848",2011,1,2,"West",8,75,"Michigan","Tennessee",45,9
"849",2011,1,3,"Southwest",1,72,"Kansas","Boston University",53,16
"850",2011,1,3,"Southwest",2,69,"Notre Dame","Akron",56,15
"851",2011,1,3,"Southwest",3,65,"Purdue","St Peters",43,14
"852",2011,1,3,"Southwest",4,61,"Louisville","Morehead St",62,13
"853",2011,1,3,"Southwest",5,66,"Vanderbilt","Richmond",69,12
"854",2011,1,3,"Southwest",6,56,"Georgetown","VCU",74,11
"855",2011,1,3,"Southwest",7,50,"Texas A&M","Florida St",57,10
"856",2011,1,3,"Southwest",8,62,"UNLV","Illinois",73,9
"857",2011,1,4,"Southeast",1,74,"Pittsburgh","UNC Asheville",51,16
"858",2011,1,4,"Southeast",2,79,"Florida","Santa Barbara",51,15
"859",2011,1,4,"Southeast",3,74,"BYU","Wofford",66,14
"860",2011,1,4,"Southeast",4,72,"Wisconsin","Belmont",58,13
"861",2011,1,4,"Southeast",5,73,"Kansas St","Utah St",68,12
"862",2011,1,4,"Southeast",6,71,"St Johns","Gonzaga",86,11
"863",2011,1,4,"Southeast",7,78,"UCLA","Michigan St",76,10
"864",2011,1,4,"Southeast",8,60,"Butler","Old Dominion",58,9
"865",2012,1,1,"South",1,81,"Kentucky","Western Kentucky",66,16
"866",2012,1,1,"South",2,70,"Duke","Lehigh",75,15
"867",2012,1,1,"South",3,68,"Baylor","South Dakota St",60,14
"868",2012,1,1,"South",4,79,"Indiana","New Mexico St",66,13
"869",2012,1,1,"South",5,59,"Wichita St","VCU",62,12
"870",2012,1,1,"South",6,64,"UNLV","Colorado",68,11
"871",2012,1,1,"South",7,63,"Notre Dame","Xavier",67,10
"872",2012,1,1,"South",8,77,"Iowa St","Connecticut",64,9
"873",2012,1,2,"West",1,89,"Michigan St","Long Island Brooklyn",67,16
"874",2012,1,2,"West",2,84,"Missouri","Norfolk St",86,15
"875",2012,1,2,"West",3,88,"Marquette","BYU",68,14
"876",2012,1,2,"West",4,69,"Louisville","Davidson",62,13
"877",2012,1,2,"West",5,75,"New Mexico","Long Beach St",68,12
"878",2012,1,2,"West",6,58,"Murray St","Colorado St",41,11
"879",2012,1,2,"West",7,71,"Florida","Virginia",45,10
"880",2012,1,2,"West",8,54,"Memphis","St Louis",61,9
"881",2012,1,3,"East",1,72,"Syracuse","UNC Asheville",65,16
"882",2012,1,3,"East",2,78,"Ohio St","Loyola Maryland",59,15
"883",2012,1,3,"East",3,86,"Florida St","St Bonaventure",63,14
"884",2012,1,3,"East",4,73,"Wisconsin","Montana",49,13
"885",2012,1,3,"East",5,79,"Vanderbilt","Harvard",70,12
"886",2012,1,3,"East",6,65,"Cincinnati","Texas",59,11
"887",2012,1,3,"East",7,77,"Gonzaga","West Virginia",54,10
"888",2012,1,3,"East",8,70,"Kansas St","Southern Mississippi",64,9
"889",2012,1,4,"Midwest",1,77,"North Carolina","Vermont",58,16
"890",2012,1,4,"Midwest",2,65,"Kansas","Detroit",50,15
"891",2012,1,4,"Midwest",3,74,"Georgetown","Belmont",59,14
"892",2012,1,4,"Midwest",4,60,"Michigan","Ohio",65,13
"893",2012,1,4,"Midwest",5,44,"Temple","South Florida",58,12
"894",2012,1,4,"Midwest",6,65,"San Diego St","NC State",79,11
"895",2012,1,4,"Midwest",7,69,"St Marys","Purdue",72,10
"896",2012,1,4,"Midwest",8,58,"Creighton","Alabama",57,9
"897",2013,1,1,"Midwest",1,79,"Louisville","North Carolina A&T",48,16
"898",2013,1,1,"Midwest",2,73,"Duke","Albany",61,15
"899",2013,1,1,"Midwest",3,65,"Michigan St","Valparaiso",54,14
"900",2013,1,1,"Midwest",4,64,"St Louis","New Mexico St",44,13
"901",2013,1,1,"Midwest",5,55,"Oklahoma St","Oregon",68,12
"902",2013,1,1,"Midwest",6,54,"Memphis","St Marys",52,11
"903",2013,1,1,"Midwest",7,67,"Creighton","Cincinnati",63,10
"904",2013,1,1,"Midwest",8,84,"Colorado St","Missouri",72,9
"905",2013,1,2,"West",1,64,"Gonzaga","Southern",58,16
"906",2013,1,2,"West",2,95,"Ohio St","Iona",70,15
"907",2013,1,2,"West",3,62,"New Mexico","Harvard",68,14
"908",2013,1,2,"West",4,61,"Kansas St","La Salle",63,13
"909",2013,1,2,"West",5,46,"Wisconsin","Ole Miss",57,12
"910",2013,1,2,"West",6,81,"Arizona","Belmont",64,11
"911",2013,1,2,"West",7,58,"Notre Dame","Iowa St",76,10
"912",2013,1,2,"West",8,55,"Pittsburgh","Wichita St",73,9
"913",2013,1,3,"South",1,64,"Kansas","Western Kentucky",57,16
"914",2013,1,3,"South",2,68,"Georgetown","Florida Gulf Coast",78,15
"915",2013,1,3,"South",3,79,"Florida","Northwestern St",47,14
"916",2013,1,3,"South",4,71,"Michigan","South Dakota St",56,13
"917",2013,1,3,"South",5,88,"VCU","Akron",42,12
"918",2013,1,3,"South",6,63,"UCLA","Minnesota",83,11
"919",2013,1,3,"South",7,70,"San Diego St","Oklahoma",55,10
"920",2013,1,3,"South",8,78,"North Carolina","Villanova",71,9
"921",2013,1,4,"East",1,83,"Indiana","James Madison",62,16
"922",2013,1,4,"East",2,78,"Miami","Pacific",49,15
"923",2013,1,4,"East",3,59,"Marquette","Davidson",58,14
"924",2013,1,4,"East",4,81,"Syracuse","Montana",34,13
"925",2013,1,4,"East",5,61,"UNLV","California",64,12
"926",2013,1,4,"East",6,68,"Butler","Bucknell",56,11
"927",2013,1,4,"East",7,57,"Illinois","Colorado",49,10
"928",2013,1,4,"East",8,72,"NC State","Temple",76,9
"929",2014,1,1,"South",1,67,"Florida","Albany",55,16
"930",2014,1,1,"South",2,80,"Kansas","Eastern Kentucky",69,15
"931",2014,1,1,"South",3,77,"Syracuse","Western Michigan",53,14
"932",2014,1,1,"South",4,76,"UCLA","Tulsa",59,13
"933",2014,1,1,"South",5,75,"VCU","Stephen F Austin",77,12
"934",2014,1,1,"South",6,59,"Ohio St","Dayton",60,11
"935",2014,1,1,"South",7,53,"New Mexico","Stanford",58,10
"936",2014,1,1,"South",8,48,"Colorado","Pittsburgh",77,9
"937",2014,1,2,"East",1,70,"Virginia","Coastal Carolina",59,16
"938",2014,1,2,"East",2,73,"Villanova","Wisconsin Milwaukee",53,15
"939",2014,1,2,"East",3,93,"Iowa St","North Carolina Central",75,14
"940",2014,1,2,"East",4,93,"Michigan St","Delaware",78,13
"941",2014,1,2,"East",5,57,"Cincinnati","Harvard",61,12
"942",2014,1,2,"East",6,79,"North Carolina","Providence",77,11
"943",2014,1,2,"East",7,89,"Connecticut","St Josephs",81,10
"944",2014,1,2,"East",8,71,"Memphis","George Washington",66,9
"945",2014,1,3,"West",1,88,"Arizona","Weber St",59,16
"946",2014,1,3,"West",2,75,"Wisconsin","American",35,15
"947",2014,1,3,"West",3,76,"Creighton","Louisiana Lafayette",66,14
"948",2014,1,3,"West",4,73,"San Diego St","New Mexico St",69,13
"949",2014,1,3,"West",5,75,"Oklahoma","North Dakota St",80,12
"950",2014,1,3,"West",6,74,"Baylor","Nebraska",60,11
"951",2014,1,3,"West",7,87,"Oregon","BYU",68,10
"952",2014,1,3,"West",8,85,"Gonzaga","Oklahoma St",77,9
"953",2014,1,4,"Midwest",1,64,"Wichita St","Cal Poly",37,16
"954",2014,1,4,"Midwest",2,57,"Michigan","Wofford",40,15
"955",2014,1,4,"Midwest",3,71,"Duke","Mercer",78,14
"956",2014,1,4,"Midwest",4,71,"Louisville","Manhattan",64,13
"957",2014,1,4,"Midwest",5,83,"St Louis","NC State",80,12
"958",2014,1,4,"Midwest",6,67,"Massachusetts","Tennessee",86,11
"959",2014,1,4,"Midwest",7,87,"Texas","Arizona St",85,10
"960",2014,1,4,"Midwest",8,56,"Kentucky","Kansas St",49,9
"961",2015,1,1,"Midwest",1,79,"Kentucky","Hampton",56,16
"962",2015,1,1,"Midwest",2,75,"Kansas","New Mexico St",56,15
"963",2015,1,1,"Midwest",3,69,"Notre Dame","Northeastern",65,14
"964",2015,1,1,"Midwest",4,65,"Maryland","Valparaiso",62,13
"965",2015,1,1,"Midwest",5,68,"West Virginia","Buffalo",62,12
"966",2015,1,1,"Midwest",6,56,"Butler","Texas",48,11
"967",2015,1,1,"Midwest",7,81,"Wichita St","Indiana",76,10
"968",2015,1,1,"Midwest",8,66,"Cincinnati","Purdue",65,9
"969",2015,1,2,"West",1,86,"Wisconsin","Coastal Carolina",72,16
"970",2015,1,2,"West",2,93,"Arizona","Texas Southern",72,15
"971",2015,1,2,"West",3,56,"Baylor","Georgia St",57,14
"972",2015,1,2,"West",4,67,"North Carolina","Harvard",65,13
"973",2015,1,2,"West",5,56,"Arkansas","Wofford",53,12
"974",2015,1,2,"West",6,76,"Xavier","Ole Miss",57,11
"975",2015,1,2,"West",7,72,"VCU","Ohio St",75,10
"976",2015,1,2,"West",8,79,"Oregon","Oklahoma St",73,9
"977",2015,1,3,"East",1,93,"Villanova","Lafayette",52,16
"978",2015,1,3,"East",2,79,"Virginia","Belmont",67,15
"979",2015,1,3,"East",3,69,"Oklahoma","Albany",60,14
"980",2015,1,3,"East",4,57,"Louisville","Cal Irvine",55,13
"981",2015,1,3,"East",5,71,"Northern Iowa","Wyoming",54,12
"982",2015,1,3,"East",6,53,"Providence","Dayton",66,11
"983",2015,1,3,"East",7,70,"Michigan St","Georgia",63,10
"984",2015,1,3,"East",8,66,"NC State","LSU",65,9
"985",2015,1,4,"South",1,85,"Duke","Robert Morris",56,16
"986",2015,1,4,"South",2,86,"Gonzaga","North Dakota St",76,15
"987",2015,1,4,"South",3,59,"Iowa St","UAB",60,14
"988",2015,1,4,"South",4,84,"Georgetown","Eastern Washington",74,13
"989",2015,1,4,"South",5,57,"Utah","Stephen F Austin",50,12
"990",2015,1,4,"South",6,59,"SMU","UCLA",60,11
"991",2015,1,4,"South",7,83,"Iowa","Davidson",52,10
"992",2015,1,4,"South",8,76,"San Diego St","St Johns",64,9
"993",2016,1,1,"South",1,105,"Kansas","Austin Peay",79,16
"994",2016,1,1,"South",2,86,"Villanova","UNC Asheville",56,15
"995",2016,1,1,"South",3,79,"Miami","Buffalo",72,14
"996",2016,1,1,"South",4,66,"California","Hawaii",77,13
"997",2016,1,1,"South",5,79,"Maryland","South Dakota St",74,12
"998",2016,1,1,"South",6,55,"Arizona","Wichita St",65,11
"999",2016,1,1,"South",7,72,"Iowa","Temple",70,10
"1000",2016,1,1,"South",8,67,"Colorado","Connecticut",74,9
"1001",2016,1,2,"West",1,91,"Oregon","Holy Cross",52,16
"1002",2016,1,2,"West",2,82,"Oklahoma","Cal St Bakersfield",68,15
"1003",2016,1,2,"West",3,92,"Texas A&M","Wisconsin Green Bay",65,14
"1004",2016,1,2,"West",4,93,"Duke","UNC Wilmington",85,13
"1005",2016,1,2,"West",5,75,"Baylor","Yale",79,12
"1006",2016,1,2,"West",6,72,"Texas","Northern Iowa",75,11
"1007",2016,1,2,"West",7,67,"Oregon St","VCU",75,10
"1008",2016,1,2,"West",8,78,"St Josephs","Cincinnati",76,9
"1009",2016,1,3,"East",1,83,"North Carolina","Florida Gulf Coast",67,16
"1010",2016,1,3,"East",2,71,"Xavier","Weber St",53,15
"1011",2016,1,3,"East",3,56,"West Virginia","Stephen F Austin",70,14
"1012",2016,1,3,"East",4,85,"Kentucky","Stony Brook",57,13
"1013",2016,1,3,"East",5,99,"Indiana","Chattanooga",74,12
"1014",2016,1,3,"East",6,70,"Notre Dame","Michigan",63,11
"1015",2016,1,3,"East",7,47,"Wisconsin","Pittsburgh",43,10
"1016",2016,1,3,"East",8,69,"USC","Providence",70,9
"1017",2016,1,4,"Midwest",1,81,"Virginia","Hampton",45,16
"1018",2016,1,4,"Midwest",2,81,"Michigan St","Middle Tennessee St",90,15
"1019",2016,1,4,"Midwest",3,80,"Utah","Fresno St",69,14
"1020",2016,1,4,"Midwest",4,94,"Iowa St","Iona",81,13
"1021",2016,1,4,"Midwest",5,83,"Purdue","Arkansas Little Rock",85,12
"1022",2016,1,4,"Midwest",6,52,"Seton Hall","Gonzaga",68,11
"1023",2016,1,4,"Midwest",7,51,"Dayton","Syracuse",70,10
"1024",2016,1,4,"Midwest",8,61,"Texas Tech","Butler",71,9
"1025",2017,1,1,"East",1,76,"Villanova","Mount St Marys",56,16
"1026",2017,1,1,"East",2,87,"Duke","Troy",65,15
"1027",2017,1,1,"East",3,91,"Baylor","New Mexico St",73,14
"1028",2017,1,1,"East",4,80,"Florida","East Tennessee St",65,13
"1029",2017,1,1,"East",5,76,"Virginia","UNC Wilmington",71,12
"1030",2017,1,1,"East",6,65,"SMU","USC",66,11
"1031",2017,1,1,"East",7,93,"South Carolina","Marquette",73,10
"1032",2017,1,1,"East",8,84,"Wisconsin","Virginia Tech",74,9
"1033",2017,1,2,"West",1,66,"Gonzaga","South Dakota St",46,16
"1034",2017,1,2,"West",2,100,"Arizona","North Dakota",82,15
"1035",2017,1,2,"West",3,86,"Florida St","Florida Gulf Coast",80,14
"1036",2017,1,2,"West",4,86,"West Virginia","Bucknell",80,13
"1037",2017,1,2,"West",5,60,"Notre Dame","Princeton",58,12
"1038",2017,1,2,"West",6,65,"Maryland","Xavier",76,11
"1039",2017,1,2,"West",7,85,"St Marys","VCU",77,10
"1040",2017,1,2,"West",8,68,"Northwestern","Vanderbilt",66,9
"1041",2017,1,3,"Midwest",1,100,"Kansas","UC Davis",62,16
"1042",2017,1,3,"Midwest",2,78,"Louisville","Jacksonville St",63,15
"1043",2017,1,3,"Midwest",3,93,"Oregon","Iona",77,14
"1044",2017,1,3,"Midwest",4,80,"Purdue","Vermont",70,13
"1045",2017,1,3,"Midwest",5,84,"Iowa St","Nevada",73,12
"1046",2017,1,3,"Midwest",6,72,"Creighton","Rhode Island",84,11
"1047",2017,1,3,"Midwest",7,92,"Michigan","Oklahoma St",91,10
"1048",2017,1,3,"Midwest",8,58,"Miami","Michigan St",78,9
"1049",2017,1,4,"South",1,103,"North Carolina","Texas Southern",64,16
"1050",2017,1,4,"South",2,79,"Kentucky","Northern Kentucky",70,15
"1051",2017,1,4,"South",3,97,"UCLA","Kent St",80,14
"1052",2017,1,4,"South",4,76,"Butler","Winthrop",64,13
"1053",2017,1,4,"South",5,72,"Minnesota","Middle Tennessee St",81,12
"1054",2017,1,4,"South",6,75,"Cincinnati","Kansas St",61,11
"1055",2017,1,4,"South",7,58,"Dayton","Wichita St",64,10
"1056",2017,1,4,"South",8,77,"Arkansas","Seton Hall",71,9
"1057",2018,1,1,"South",1,54,"Virginia","UMBC",74,16
"1058",2018,1,1,"South",2,68,"Cincinnati","Georgia St",53,15
"1059",2018,1,1,"South",3,73,"Tennessee","Wright St",47,14
"1060",2018,1,1,"South",4,68,"Arizona","Buffalo",89,13
"1061",2018,1,1,"South",5,78,"Kentucky","Davidson",73,12
"1062",2018,1,1,"South",6,62,"Miami","Loyola Chicago",64,11
"1063",2018,1,1,"South",7,87,"Nevada","Texas",83,10
"1064",2018,1,1,"South",8,59,"Creighton","Kansas St",69,9
"1065",2018,1,2,"West",1,102,"Xavier","Texas Southern",83,16
"1066",2018,1,2,"West",2,84,"North Carolina","Lipscomb",66,15
"1067",2018,1,2,"West",3,61,"Michigan","Montana",47,14
"1068",2018,1,2,"West",4,68,"Gonzaga","UNC Greensboro",64,13
"1069",2018,1,2,"West",5,81,"Ohio St","South Dakota St",73,12
"1070",2018,1,2,"West",6,67,"Houston","San Diego St",65,11
"1071",2018,1,2,"West",7,73,"Texas A&M","Providence",69,10
"1072",2018,1,2,"West",8,54,"Missouri","Florida St",67,9
"1073",2018,1,3,"East",1,87,"Villanova","Radford",61,16
"1074",2018,1,3,"East",2,74,"Purdue","Cal St Fullerton",48,15
"1075",2018,1,3,"East",3,70,"Texas Tech","Stephen F Austin",60,14
"1076",2018,1,3,"East",4,75,"Wichita St","Marshall",81,13
"1077",2018,1,3,"East",5,85,"West Virginia","Murray St",68,12
"1078",2018,1,3,"East",6,77,"Florida","St Bonaventure",62,11
"1079",2018,1,3,"East",7,62,"Arkansas","Butler",79,10
"1080",2018,1,3,"East",8,83,"Virginia Tech","Alabama",86,9
"1081",2018,1,4,"Midwest",1,76,"Kansas","Pennsylvania",60,16
"1082",2018,1,4,"Midwest",2,89,"Duke","Iona",67,15
"1083",2018,1,4,"Midwest",3,82,"Michigan St","Bucknell",78,14
"1084",2018,1,4,"Midwest",4,62,"Auburn","College of Charleston",58,13
"1085",2018,1,4,"Midwest",5,79,"Clemson","New Mexico St",68,12
"1086",2018,1,4,"Midwest",6,52,"TCU","Syracuse",57,11
"1087",2018,1,4,"Midwest",7,83,"Rhode Island","Oklahoma",78,10
"1088",2018,1,4,"Midwest",8,94,"Seton Hall","NC State",83,9
"1089",2019,1,1,"East",1,85,"Duke","North Dakota St",62,16
"1090",2019,1,1,"East",2,76,"Michigan St","Bradley",65,15
"1091",2019,1,1,"East",3,79,"LSU","Yale",74,14
"1092",2019,1,1,"East",4,66,"Virginia Tech","St Louis",52,13
"1093",2019,1,1,"East",5,76,"Mississippi St","Liberty",80,12
"1094",2019,1,1,"East",6,79,"Maryland","Belmont",77,11
"1095",2019,1,1,"East",7,76,"Louisville","Minnesota",86,10
"1096",2019,1,1,"East",8,58,"VCU","Central Florida",73,9
"1097",2019,1,2,"West",1,87,"Gonzaga","Fairleigh Dickinson",49,16
"1098",2019,1,2,"West",2,74,"Michigan","Montana",55,15
"1099",2019,1,2,"West",3,72,"Texas Tech","Northern Kentucky",57,14
"1100",2019,1,2,"West",4,76,"Florida St","Vermont",69,13
"1101",2019,1,2,"West",5,64,"Marquette","Murray St",83,12
"1102",2019,1,2,"West",6,91,"Buffalo","Arizona St",74,11
"1103",2019,1,2,"West",7,61,"Nevada","Florida",70,10
"1104",2019,1,2,"West",8,69,"Syracuse","Baylor",78,9
"1105",2019,1,3,"South",1,71,"Virginia","Gardner Webb",56,16
"1106",2019,1,3,"South",2,77,"Tennessee","Colgate",70,15
"1107",2019,1,3,"South",3,61,"Purdue","Old Dominion",48,14
"1108",2019,1,3,"South",4,64,"Kansas St","UC Irvine",70,13
"1109",2019,1,3,"South",5,54,"Wisconsin","Oregon",72,12
"1110",2019,1,3,"South",6,61,"Villanova","St Marys",57,11
"1111",2019,1,3,"South",7,72,"Cincinnati","Iowa",79,10
"1112",2019,1,3,"South",8,72,"Ole Miss","Oklahoma",95,9
"1113",2019,1,4,"Midwest",1,88,"North Carolina","Iona",73,16
"1114",2019,1,4,"Midwest",2,79,"Kentucky","Abilene Christian",44,15
"1115",2019,1,4,"Midwest",3,84,"Houston","Georgia St",55,14
"1116",2019,1,4,"Midwest",4,87,"Kansas","Northeastern",53,13
"1117",2019,1,4,"Midwest",5,78,"Auburn","New Mexico St",77,12
"1118",2019,1,4,"Midwest",6,59,"Iowa St","Ohio St",62,11
"1119",2019,1,4,"Midwest",7,84,"Wofford","Seton Hall",68,10
"1120",2019,1,4,"Midwest",8,61,"Utah St","Washington",78,9
