"","Year","Round","Seed1","Score1","Team1","Team2","Score2","Seed2","W1","L1","Pts1","Opp1","MOV1","SOS1","OSRS1","DSRS1","SRS1","W2","L2","Pts2","Opp2","MOV2","SOS2","OSRS2","DSRS2","SRS2"
"112",2004,1,5,58,"Providence","Pacific",66,12,20,9,71,64.4,6.66,8.21,6.6,8.27,14.87,25,8,68.8,63.5,5.3,0.95,1.26,4.51,5.76
"113",2004,1,7,66,"Michigan St","Nevada",72,10,18,12,71.3,67.5,3.77,8.38,8.72,3.43,12.15,25,9,75.9,66.4,9.47,5.82,9.33,5.58,14.91
"114",2004,1,5,60,"Florida","Manhattan",75,12,20,11,76.4,69.3,7.1,9.19,11.84,4.44,16.28,25,6,74.5,64,10.55,-1.25,3.44,5.86,9.3
"115",2005,1,5,73,"Alabama","Wisconsin Milwaukee",83,12,24,8,75.8,65.1,10.72,6.81,9.53,7.22,16.75,26,6,75,64.3,10.66,1.45,8.29,2.13,10.42
"116",2005,1,6,68,"LSU","UAB",82,11,20,10,75.2,71.4,3.83,7.77,10.39,1.21,11.6,22,11,77.5,71.8,5.64,4.77,10.91,-0.5,10.41
"117",2005,1,3,63,"Kansas","Bucknell",64,14,23,7,75,65.2,9.83,10.85,12.24,8.44,20.68,23,10,63.5,59,4.58,-2.19,-5.26,7.38,2.12
"118",2005,1,7,63,"Charlotte","NC State",75,10,21,8,77.8,72.2,5.66,3.97,11.8,-2.17,9.62,21,14,73.1,66.1,7,9.15,6.86,9.29,16.15
"119",2005,1,4,57,"Syracuse","Vermont",60,13,27,7,74.9,64.6,10.32,6.83,9.18,6.77,15.95,25,7,71.8,62.1,9.75,-1.95,3.58,4.22,7.8
"120",2006,1,3,63,"Iowa","Northwestern St",64,14,25,9,66.3,58.9,7.38,6.8,0.84,13.34,14.18,26,8,75.7,69.6,6.12,-1.38,4.63,-0.62,4.01
"121",2006,1,5,58,"Syracuse","Texas A&M",66,12,23,12,72.4,68.9,3.51,8.16,8.15,3.53,11.68,22,9,68.7,60.3,8.42,4.77,2.29,10.9,13.19
"122",2006,1,7,52,"California","NC State",58,10,20,11,68.6,64.5,4.13,8.84,4.05,8.25,12.31,22,10,74.5,67.4,7.06,5.63,7.62,5.08,12.7
"123",2006,1,4,73,"Kansas","Bradley",77,13,25,8,75.2,61.3,13.82,7.6,9.07,10.95,20.02,22,11,71.5,65.1,6.39,5.38,7.66,4.12,11.78
"124",2006,1,7,85,"Marquette","Alabama",90,10,20,11,75,69.4,5.65,8.16,9.9,1.43,11.33,18,13,70.3,67.5,2.71,8.08,6.19,4.6,10.79
"125",2006,1,6,65,"Michigan St","George Mason",75,11,22,12,74.1,68.6,5.47,7.27,9.98,2.26,12.24,27,8,69.4,60.1,9.34,2.77,1.91,10.21,12.11
"126",2006,1,5,79,"Nevada","Montana",87,12,27,6,72.8,63.7,9.03,2.26,5.11,5.05,10.16,24,7,79,71,7.97,-0.96,6.6,-1.75,4.86
"127",2006,1,6,74,"Oklahoma","Wisconsin Milwaukee",82,11,20,9,68.8,63.7,5.1,6.79,4.42,7.47,11.89,22,9,74,66.5,7.52,1.47,5.71,1.94,7.65
"128",2007,1,6,64,"Notre Dame","Winthrop",74,11,24,8,81,68,13,4.97,15.72,1.22,16.94,29,5,74.9,61.4,13.44,-1.2,0.71,8.46,9.17
"129",2007,1,6,77,"Duke","VCU",79,11,22,11,70.4,62,8.36,10.49,5.87,12.98,18.85,28,7,75,65.7,9.37,0.2,7.77,1.73,9.5
"130",2008,1,4,62,"Vanderbilt","Siena",83,13,26,8,80,74.6,5.41,5.54,12.11,-1.16,10.96,23,11,76.9,71.2,5.68,-1.62,5.61,-1.55,4.06
"131",2008,1,5,69,"Clemson","Villanova",75,12,24,10,79.2,69.8,9.44,9.08,12.37,5.68,18.05,22,13,72.8,69.5,3.31,7.69,6.92,4.08,11
"132",2008,1,6,67,"USC","Kansas St",80,11,21,12,69,63.7,5.3,8.59,5.35,8.54,13.89,21,12,78,68.9,9.09,7.79,12.61,3.17,15.79
"133",2008,1,7,76,"Gonzaga","Davidson",82,10,25,8,76.5,63.8,12.67,2.15,9.29,5.52,14.81,29,7,77.9,63.2,14.69,1.66,8.49,5.44,13.93
"134",2008,1,4,69,"Connecticut","San Diego",70,13,24,9,77.5,68.7,8.79,6.76,10.81,4.73,15.54,22,14,65.7,63.8,1.92,1.45,-3.71,7.1,3.39
"135",2008,1,5,99,"Drake","Western Kentucky",101,12,28,5,73.9,62.1,11.82,4.15,7.43,6.65,14.08,29,7,77.4,66.8,10.61,0.24,7.93,1.41,9.34
"136",2009,1,4,69,"Wake Forest","Cleveland St",84,13,24,7,81,70.7,10.23,7.36,14.58,1.06,15.63,26,11,66.4,59.5,6.81,2.12,-1.24,8.21,6.97
"137",2009,1,5,71,"Utah","Arizona",84,12,24,10,71.2,64.6,6.65,5.72,5.36,7.24,12.59,21,14,72.3,69.2,3.09,8.8,9.13,2.75,11.88
"138",2009,1,6,60,"West Virginia","Dayton",68,11,23,12,72,61.8,10.23,8.34,7.32,11.26,18.57,27,8,66.8,61.4,5.4,1.76,-0.85,8,7.16
"139",2009,1,7,55,"Boston College","USC",72,10,22,12,74.4,70.5,3.85,7.23,8.48,1.88,10.36,22,13,68.5,63.5,4.94,9.15,3.36,10.74,14.09
"140",2009,1,7,71,"California","Maryland",84,10,22,11,74.9,68.8,6.09,7.21,11.18,2.12,13.3,21,14,71.8,69.1,2.66,8.99,6.63,4.48,11.1
"141",2009,1,5,59,"Florida St","Wisconsin",61,12,25,10,68.3,64.9,3.46,7.91,2.53,8.84,11.37,20,13,63.8,59,4.79,8.43,0.85,11.58,12.43
"142",2009,1,5,72,"Illinois","Western Kentucky",76,12,24,10,64.8,57.2,7.65,6.73,1.32,13.06,14.38,25,9,72.2,67,5.18,-1.23,4.09,-0.41,3.68
"143",2009,1,7,59,"Clemson","Michigan",62,10,23,9,78.3,68,10.31,6.59,12.43,3.13,15.56,21,14,66.9,63.2,3.66,9.74,4.72,7.18,11.9
"144",2010,1,3,83,"Georgetown","Ohio",97,14,23,11,73.5,66.1,7.47,9.56,9.38,7.65,17.03,22,15,74.7,69.4,5.24,-0.03,6.34,-1.78,4.56
"145",2010,1,7,59,"Oklahoma St","Georgia Tech",64,10,22,11,73.8,68,5.88,6.97,7.29,5.05,12.34,23,13,72.8,65.7,7.11,9.02,7.49,6.62,14.11
"146",2010,1,4,65,"Vanderbilt","Murray St",66,13,24,9,76.9,68.9,7.97,7.86,11.84,3.4,15.24,31,5,76.5,60.4,16.06,-3.89,2.63,6.06,8.69
"147",2010,1,5,65,"Temple","Cornell",78,12,29,6,64.9,56.8,8.17,4.27,-2.6,15.04,12.44,29,5,76.4,64.5,11.88,-0.91,7.2,1.55,8.76
"148",2010,1,6,78,"Marquette","Washington",80,11,22,12,73.1,64.6,8.44,8.23,5.9,9.27,15.17,26,10,79.2,70,9.22,7.49,13.31,2.33,15.64
"149",2010,1,7,78,"Clemson","Missouri",86,10,21,11,73.4,64.5,8.91,7.9,8.25,7.46,15.71,23,11,77.3,66.2,11.03,6.36,11.31,6.08,17.39
"150",2010,1,6,50,"Notre Dame","Old Dominion",51,11,23,12,75.3,68.4,6.91,6.22,9.82,3.32,13.14,27,9,67.1,57.5,9.61,1.78,-0.52,11.91,11.39
"151",2010,1,7,71,"Richmond","St Marys",80,10,26,9,69.3,62.7,6.6,3.43,0.98,9.06,10.03,28,6,78.5,66.4,12.06,2.2,10.03,3.35,13.38
"152",2011,1,6,55,"Xavier","Marquette",66,11,24,8,72.1,64.6,7.47,4.41,6.3,5.58,11.88,22,15,75.2,68.8,6.38,8.51,10.23,4.66,14.89
"153",2011,1,4,61,"Louisville","Morehead St",62,13,25,10,74.9,64.5,10.4,8.2,10.42,8.18,18.6,25,10,68.9,61.8,7.14,-3.13,-1.68,4.49,2.81
"154",2011,1,5,66,"Vanderbilt","Richmond",69,12,23,11,75.9,67.7,8.24,6.86,11.12,3.97,15.1,29,8,69.6,61.2,8.43,2.79,2.85,8.38,11.23
"155",2011,1,6,56,"Georgetown","VCU",74,11,21,11,70.6,66.3,4.22,10.39,7.15,7.47,14.61,28,12,71.6,66.8,4.78,3.78,6.2,2.36,8.56
"156",2011,1,7,50,"Texas A&M","Florida St",57,10,24,9,68.3,60.9,7.42,5.94,2.24,10.38,12.62,23,11,69.1,62,7.03,6.45,3.52,9.97,13.48
"157",2011,1,6,71,"St Johns","Gonzaga",86,11,21,12,70.1,67,3.09,10.01,6.41,6.69,13.1,25,10,76.7,65.9,10.77,4.01,8.59,5.27,13.86
"158",2012,1,2,70,"Duke","Lehigh",75,15,27,7,77.3,68.6,8.65,8.4,13.75,3.3,17.05,27,8,75.7,65.4,10.29,-5.14,5.63,-1.37,4.27
"159",2012,1,5,59,"Wichita St","VCU",62,12,27,6,77.1,62.4,14.7,3.8,10.64,6.79,17.42,29,7,68,59.8,8.17,0.63,2.74,6.05,8.79
"160",2012,1,6,64,"UNLV","Colorado",68,11,26,9,76.3,65.9,10.4,4.37,11.33,2.23,13.55,24,12,67.5,63,4.44,5.73,2.06,5.85,7.91
"161",2012,1,7,63,"Notre Dame","Xavier",67,10,22,12,66.4,61.7,4.71,6.47,2.42,8.76,11.18,23,13,70.6,67.3,3.36,6.22,5.95,3.64,9.59
"162",2012,1,2,84,"Missouri","Norfolk St",86,15,30,5,80.4,66.3,14.09,5.68,16.13,3.64,19.77,26,10,68.9,67.1,1.83,-5.39,-1.41,-2.27,-3.68
"163",2012,1,4,60,"Michigan","Ohio",65,13,24,10,66.3,61.5,4.85,8.98,3.87,9.32,13.19,29,8,70.2,62.5,7.73,0.17,2.7,4.46,7.17
"164",2012,1,5,44,"Temple","South Florida",58,12,24,8,75,69.5,5.5,4.94,9.09,1.35,10.44,22,14,59.3,56.6,2.69,7.29,-5.08,14.28,9.2
"165",2012,1,6,65,"San Diego St","NC State",79,11,26,8,71.1,63.7,7.35,3.79,4.59,4.46,9.04,24,13,72.9,67.6,5.3,6.8,9.17,2.94,12.1
"166",2012,1,7,69,"St Marys","Purdue",72,10,27,6,74.8,62.7,12.09,0.78,6.01,5.25,11.26,22,13,71.8,66,5.83,8.05,8.62,5.26,13.88
"167",2013,1,5,55,"Oklahoma St","Oregon",68,12,24,9,71.8,63,8.85,6.72,7.6,7.97,15.57,28,9,71.6,63.6,8.05,5.73,8.26,5.52,13.78
"168",2013,1,3,62,"New Mexico","Harvard",68,14,29,6,67.3,60.6,6.66,6.59,4.58,8.66,13.24,20,10,68.3,64.1,4.17,0.17,2.61,1.35,3.96
"169",2013,1,4,61,"Kansas St","La Salle",63,13,27,8,69,60.4,8.54,6.54,4.18,9.36,13.54,24,10,72.1,66.4,5.68,4.47,6.78,3.37,10.15
"170",2013,1,5,46,"Wisconsin","Ole Miss",57,12,23,12,65,55.9,9.03,9.73,3.16,15.6,18.76,27,9,77.2,66.9,10.28,4.17,12.96,1.48,14.44
"171",2013,1,7,58,"Notre Dame","Iowa St",76,10,25,10,70,63.5,6.51,7.24,6.69,7.06,13.76,23,12,79.4,71,8.37,6.13,15.4,-0.89,14.5
"172",2013,1,2,68,"Georgetown","Florida Gulf Coast",78,15,25,7,64.7,56.4,8.25,7.61,1.43,14.43,15.86,26,11,72.9,66.7,6.14,-1.82,4.25,-1.24,3.01
"173",2013,1,6,63,"UCLA","Minnesota",83,11,25,10,74.4,69.3,5.06,7.77,11.84,0.98,12.82,21,13,68.7,62.2,6.53,10.31,7.55,9.29,16.84
"174",2013,1,5,61,"UNLV","California",64,12,25,10,71.4,63,8.34,5.6,6.81,6,12.81,21,12,67.2,64.3,2.88,7.71,4.43,6.17,10.59
"175",2014,1,5,75,"VCU","Stephen F Austin",77,12,26,9,75,65.2,9.77,4.78,7.98,6.57,14.55,32,3,76,63.4,12.63,-6.76,-0.3,5.12,4.82
"176",2014,1,6,59,"Ohio St","Dayton",60,11,25,10,69.5,59.8,9.71,8.12,3.37,14.47,17.84,26,11,72.2,67,5.22,5.34,5.03,5.52,10.55
"177",2014,1,7,53,"New Mexico","Stanford",58,10,27,7,74,66.1,7.88,4.84,6.62,6.1,12.72,23,13,72.7,68.3,4.42,9,6.68,6.74,13.42
"178",2014,1,5,57,"Cincinnati","Harvard",61,12,27,7,68.4,58.4,9.97,5.28,0.7,14.55,15.26,27,5,73.2,61,12.22,-0.47,3.99,6.79,10.79
"179",2014,1,5,75,"Oklahoma","North Dakota St",80,12,23,10,81.9,76,5.94,8.97,15.64,-0.73,14.91,26,7,75.5,65.6,9.94,-0.02,3.55,2.76,6.31
"180",2014,1,3,71,"Duke","Mercer",78,14,26,9,78.4,67.4,11.03,8.48,13.87,5.64,19.51,27,9,78.8,66.9,11.83,-3.42,4.06,1.28,5.33
"181",2014,1,6,67,"Massachusetts","Tennessee",86,11,24,9,75.8,71.2,4.61,6,9.22,1.39,10.61,24,13,72.2,61.7,10.51,7.84,5.88,11.46,17.34
"182",2015,1,3,56,"Baylor","Georgia St",57,14,24,10,69.1,60.2,8.85,9.33,6.46,11.39,17.85,25,10,71.4,62.4,9,-2.03,2.07,3.4,5.47
"183",2015,1,7,72,"VCU","Ohio St",75,10,26,10,72.5,65.8,6.69,6.1,9.1,3.69,12.79,24,11,75.3,63,12.31,7.37,11.93,7.76,19.68
"184",2015,1,6,53,"Providence","Dayton",66,11,22,12,69.7,65.5,4.21,9.5,7.44,6.27,13.71,27,9,67.8,60.8,6.92,4.06,2.88,8.1,10.98
"185",2015,1,3,59,"Iowa St","UAB",60,14,25,9,77.8,69,8.79,9.15,15.84,2.1,17.94,20,16,68.8,68.1,0.67,1.62,1.98,-0.05,1.94
"186",2015,1,6,59,"SMU","UCLA",60,11,27,7,69.1,59.8,9.35,3.57,4.59,8.35,12.94,22,14,71.9,68.1,3.81,8.27,8.94,3.14,12.07
"187",2016,1,4,66,"California","Hawaii",77,13,23,11,74.9,67.3,7.53,7.87,6.56,8.84,15.39,28,6,77.1,66.7,10.38,-1.04,4.61,4.42,9.03
"188",2016,1,6,55,"Arizona","Wichita St",65,11,25,9,80.4,68.9,11.56,7.23,10.88,7.9,18.79,26,9,72.4,59,13.4,4.24,4,13.39,17.39
"189",2016,1,5,75,"Baylor","Yale",79,12,22,12,77.1,69.6,7.5,9.76,9.63,6.5,16.13,23,7,74.9,63.8,11.13,-1.03,0.55,8.53,9.08
"190",2016,1,6,72,"Texas","Northern Iowa",75,11,20,13,71.4,68.3,3.09,11.71,4.13,10.67,14.8,23,13,68.8,64,4.78,4.44,-1.06,9.84,8.78
"191",2016,1,7,67,"Oregon St","VCU",75,10,19,13,71.9,70.1,1.78,9.26,3.46,6.93,10.39,25,11,77.3,67.8,9.47,4.35,7.19,6.64,13.83
"192",2016,1,3,56,"West Virginia","Stephen F Austin",70,14,26,9,78.5,66.7,11.83,9.78,10.88,10.73,21.61,28,6,80.2,63.3,16.91,-5.47,2.91,6.32,9.23
"193",2016,1,2,81,"Michigan St","Middle Tennessee St",90,15,29,6,79.8,64.1,15.66,6.94,12.25,10.34,22.59,25,10,72.5,68.9,3.69,-0.7,-1.76,4.42,2.66
"194",2016,1,5,83,"Purdue","Arkansas Little Rock",85,12,26,9,77.9,65.2,12.71,7.46,10.01,10.16,20.17,30,5,71.1,60.8,10.23,-1.76,-3.25,10.37,7.12
"195",2016,1,6,52,"Seton Hall","Gonzaga",68,11,25,9,74.2,67.8,6.38,8.28,6.27,8.39,14.66,28,8,78.9,65.6,13.33,4.23,8.08,8.84,16.92
"196",2016,1,7,51,"Dayton","Syracuse",70,10,25,8,72.5,65.9,6.58,4.76,2.28,9.06,11.34,23,14,70,65.1,4.86,9.75,2.69,11.93,14.62
"197",2017,1,6,65,"SMU","USC",66,11,30,5,74.3,60,14.26,4.45,5.83,12.88,18.71,26,10,78.2,73.1,5.08,6.4,8.07,3.41,11.48
"198",2017,1,6,65,"Maryland","Xavier",76,11,24,9,73.9,68.1,5.82,8.29,5.84,6.95,12.79,24,14,74.6,71.3,3.29,11.51,7.6,7.2,14.8
"199",2017,1,6,72,"Creighton","Rhode Island",84,11,25,10,81.8,72.8,9,8.95,12.76,4.51,17.27,25,10,73.6,65.4,8.26,4.62,3.78,9.1,12.88
"200",2017,1,5,72,"Minnesota","Middle Tennessee St",81,12,24,10,75.2,69.4,5.74,8.82,7.61,6.95,14.56,31,5,74.9,63.9,11.06,-0.48,0.5,9.3,9.8
"201",2017,1,7,58,"Dayton","Wichita St",64,10,24,8,75.9,66.4,9.44,4.27,5.8,7.18,12.98,31,5,81,62.4,18.61,2.96,10.67,10.57,21.24
"202",2018,1,1,54,"Virginia","UMBC",74,16,31,3,67.1,54,13.15,9.05,-1.75,23.95,22.2,25,11,73.1,68.5,4.56,-3.84,-2.3,0.28,-2.02
"203",2018,1,4,68,"Arizona","Buffalo",89,13,27,8,80.5,71.7,8.83,6.84,10.25,5.42,15.67,27,9,84.6,76.2,8.47,0.25,11.64,-3.66,7.99
"204",2018,1,6,62,"Miami","Loyola Chicago",64,11,22,10,73.8,67.9,5.88,6.96,4.56,8.27,12.83,32,6,71.6,62.6,9.05,1.8,0.65,9.72,10.37
"205",2018,1,4,75,"Wichita St","Marshall",81,13,25,8,82.8,71.6,11.12,5.46,12.81,3.77,16.58,25,11,83.8,79.1,4.67,0.44,10.29,-6.08,4.21
"206",2018,1,7,62,"Arkansas","Butler",79,10,23,12,80.5,75.6,4.91,9.85,11.86,2.91,14.76,21,14,78.9,72.6,6.37,10.55,9.68,7.24,16.92
"207",2018,1,6,52,"TCU","Syracuse",57,11,21,12,82.1,75.4,6.7,9.68,13.36,3.02,16.38,23,14,66.6,63.8,2.86,10.02,-2.38,15.26,12.89
"208",2019,1,5,76,"Mississippi St","Liberty",80,12,23,11,77.3,70.4,6.88,9.07,10.03,5.93,15.96,29,7,73.7,61.4,12.36,-3.88,-3.23,8.5,5.27
"209",2019,1,7,76,"Louisville","Minnesota",86,10,20,14,74.6,68.4,6.24,11.04,8.4,8.88,17.28,22,14,70.6,69.4,1.25,11.27,5.5,7.02,12.52
"210",2019,1,5,64,"Marquette","Murray St",83,12,24,10,77.3,69.5,7.82,6.96,8.5,6.28,14.78,28,5,82.6,68.3,14.3,-3.11,6.13,2.83,8.96
"211",2019,1,7,61,"Nevada","Florida",70,10,29,5,80.1,66.8,13.32,2.68,9.4,6.61,16,20,16,67.8,63.6,4.19,11.22,0.81,14.61,15.42
"212",2019,1,4,64,"Kansas St","UC Irvine",70,13,25,9,65.8,59.6,6.21,9.18,-1.44,16.82,15.39,31,6,72.3,63.6,8.7,-2.3,-0.3,6,5.7
"213",2019,1,5,54,"Wisconsin","Oregon",72,12,23,11,68.6,61.7,6.88,11.01,2.77,15.13,17.9,25,13,70,62.2,7.82,6.13,0.68,13.27,13.95
"214",2019,1,7,72,"Cincinnati","Iowa",79,10,28,7,71.7,62.7,9.03,5.5,2.64,11.9,14.53,23,12,78.3,73.9,4.43,9.84,12.59,1.67,14.27
"215",2019,1,6,59,"Iowa St","Ohio St",62,11,23,12,76.9,68.1,8.77,9.3,10.5,7.57,18.07,20,15,69.1,66.2,2.89,11,2.84,11.04,13.89
"216",2021,1,2,72,"Ohio St","Oral Roberts",75,15,21,10,77.2,71.1,6.06,12.19,12.15,6.1,18.25,18,11,81.1,75.6,5.52,-0.04,7.09,-5.36,1.73
"217",2021,1,3,52,"Texas","Abilene Christian",53,14,19,8,74.4,68.2,6.15,9.36,8.88,6.63,15.51,24,5,75.7,60.4,15.28,-6.37,-0.28,6.56,6.27
"218",2021,1,4,58,"Virginia","Ohio",62,13,18,7,68.2,60.5,7.68,7.59,0.18,15.09,15.27,17,8,79.2,72.6,6.6,-0.57,5.65,-0.18,5.48
"219",2021,1,4,69,"Purdue","North Texas",78,13,18,10,71,66.7,4.32,11.23,6.15,9.4,15.55,18,10,69.8,62.3,7.46,1.02,-2.12,9.7,7.58
"220",2021,1,5,56,"Tennessee","Oregon St",70,12,18,9,71.9,63.5,8.41,8.46,4.46,12.41,16.87,20,13,70.5,67.6,2.82,10.82,3.86,7.62,11.48
"221",2021,1,6,62,"BYU","UCLA",73,11,20,7,78.1,68.6,9.48,7.23,8.13,7.06,15.19,22,10,73.4,68.4,4.97,11.34,8.06,8.24,16.3
"222",2021,1,6,62,"San Diego St","Syracuse",78,11,23,5,73.6,61.2,12.46,2.99,3.74,10.63,14.36,18,10,74.8,70.1,4.68,8.59,8.59,4.68,13.27
"223",2021,1,7,54,"Connecticut","Maryland",63,10,15,8,71.7,64.6,7.17,8.59,5.79,9.98,15.77,17,14,68.9,65.6,3.26,11.97,3.95,9.99,13.94
"224",2021,1,7,56,"Clemson","Rutgers",60,10,16,8,64.9,61.9,3,9.49,-0.71,13.21,12.49,16,12,69.3,67.6,1.64,12.5,4.15,9.99,14.14
